YOR062C	GO:0005737;GO:0008150;GO:0005634;GO:0003674
YBR043C	GO:0051321;GO:0016020;GO:0043934;GO:0071554;GO:0022857;GO:0005886;GO:0042221;GO:0055085
YHR112C	GO:0005737;;GO:0005634;GO:0016829
YLR011W	GO:0005737;GO:0051169;GO:0051049;GO:0005634;GO:0006605;GO:0006979;GO:0042221;GO:0008134;GO:0016491
YIL044C	GO:0005737;GO:0031410;GO:0030234;GO:0048193
YHR126C	GO:0005737;GO:0005773;GO:0003674;GO:0008150
YKR084C	GO:0005737;GO:0016787;GO:0003924;GO:0006417;GO:0006401
YER121W	GO:0005575;GO:0008150;GO:0003674
YCR046C	GO:0005737;GO:0005840;GO:0005739;GO:0005198;GO:0003735;GO:0032543;GO:0007005
tD(GUC)G1	GO:0005737;GO:0006414;GO:0003723;GO:0030533
tD(GUC)G2	GO:0005737;GO:0006414;GO:0003723;GO:0030533
YKL204W	GO:0005737;GO:0006401;GO:0006417;GO:0003723;GO:0003729
YOR266W	GO:0005737;GO:0016020;GO:0005739;GO:0005740;GO:0003674;GO:0007005
YDR393W	GO:0005737;GO:0016020;GO:0005739;GO:0005740;GO:0003674;GO:0007005
YGL171W	GO:0016787;GO:0005730;GO:0005634;GO:0042274;GO:0004386;GO:0006364;GO:0016887
YPR194C	GO:0005737;GO:0005794;GO:0000902;;GO:0006869;GO:0005773;GO:0051049;GO:0006811;GO:0016020;GO:0005777;GO:0061025;GO:0048284;GO:0012505;GO:0005886;GO:0033043;GO:0007033
YGR019W	GO:0005737;GO:0016740;GO:0006520;GO:0032787
YBL033C	GO:0005737;GO:0016787;GO:0005634;GO:0006766
tE(UUC)G1	GO:0005737;GO:0006414;GO:0003723;GO:0030533
tE(UUC)G3	GO:0005737;GO:0006414;GO:0003723;GO:0030533
tE(UUC)G2	GO:0005737;GO:0006414;GO:0003723;GO:0030533
YJL188C	GO:0005575;GO:0000910;GO:0003674;GO:0000278
YLL057C	GO:0005575;;GO:0016491
YNL229C	GO:0005737;GO:0051169;GO:0051049;GO:0070647;GO:0006605;GO:0000988;GO:0042221;GO:0016491
YNL277W	GO:0005737;GO:0016740;GO:0006520
YMR040W	GO:0005737;GO:0005840;GO:0016020;GO:0003674;GO:0012505;GO:0008150;GO:0005783
YDR077W	GO:0005737;GO:0005840;GO:0005618;GO:0005739;GO:0005198;GO:0071554;GO:0007005
YMR266W	GO:0005737;GO:0005783;GO:0048193;GO:0005773;GO:0016020;GO:0003674;GO:0012505
YKR064W	GO:0005737;GO:0005634;GO:0005739;GO:0001071;GO:0006366;GO:0042221
YPL089C	GO:0005634;GO:0006366;GO:0023052;GO:0001071;GO:0003677
YGR277C	GO:0005737;GO:0016779;GO:0051186;GO:0005634;GO:0016740;GO:0055086
YDL139C	GO:0005737;GO:0051603;GO:0070925;GO:0000278;GO:0070271;GO:0005634;GO:0070647;GO:0031399;GO:0007059;GO:0003682;GO:0005694
YDR246W	GO:0005737;GO:0005794;GO:0048193;GO:0031410;GO:0005085;GO:0012505
YOR288C	GO:0005737;GO:0006457;GO:0016853;GO:0005773;GO:0012505;GO:0005783;GO:0016491
YDL240C-A	GO:0005575;GO:0008150;GO:0003674
YCR028C	GO:0005737;GO:0006897;GO:0005773;GO:0006811;GO:0016020;GO:0022857;GO:0005886;GO:0055085
YML054C	GO:0005737;GO:0005634;GO:0005739;GO:0032787;GO:0005740;GO:0016491
YLR179C	GO:0005737;GO:0008150;GO:0005634;GO:0003674
YOR141C	GO:0006310;GO:0016787;GO:0006281;GO:0006325;GO:0005634;GO:0004386;GO:0006974;GO:0003723;GO:0016887;GO:0005694;GO:0003729
YPL280W	GO:0005737;GO:0016787;GO:0008233;GO:0051082;
YBL106C	GO:0006887;GO:0048193;GO:0016020;GO:0030427;GO:0003674;GO:0005886;GO:0005933
YGL044C	GO:0005634;GO:0006397;GO:0003723;GO:0003729
YER107C	GO:0005737;GO:0015931;GO:0051169;GO:0006997;GO:0051049;GO:0005634;GO:0016020;GO:0003674;GO:0012505;GO:0009408
YBR038W	GO:0000910;GO:0016020;GO:0030427;GO:0016740;GO:0016757;GO:0005933
YER076W-A	GO:0005575;GO:0008150;GO:0003674
YGR259C	GO:0005575;GO:0008150;GO:0003674
YEL047C	GO:0005737;GO:0005840;GO:0016020;GO:0005739;GO:0005886;GO:0042221;GO:0016491
YPR016C	GO:0005737;;GO:0051169;GO:0005730;GO:0005634;GO:0000054;GO:0042273;GO:0006364
YLR157C	;GO:0016787;GO:0006520;GO:0042594;GO:0032787
YDL055C	GO:0005737;GO:0071554;GO:0016779;GO:0016740;GO:0006486
YML009C	GO:0005737;GO:0005840;GO:0005739;GO:0005198;GO:0003735;GO:0032543;GO:0007005
YML072C	GO:0005737;GO:0006629;GO:0005783;GO:0008289;GO:0005739;GO:0005938;GO:0005933;GO:0012505
YDR142C	GO:0005737;;GO:0007031;GO:0005777;GO:0006605;GO:0055085
YFL044C	GO:0005737;GO:0016787;GO:0005634;GO:0070647;GO:0008233
YBL113W-A	GO:0005575;GO:0008150;GO:0003674
YKL019W	GO:0005737;GO:0016740;GO:0051604
YJL130C	GO:0005737;GO:0006520;GO:0016020;GO:0005739;GO:0016740;GO:0016874;GO:0055086
YBL085W	GO:0005737;GO:0007114;GO:0016020;GO:0030427;GO:0008289;GO:0043167;GO:0005886;GO:0005933
YBR116C	GO:0005575;GO:0008150;GO:0003674
YDR166C	GO:0005737;GO:0006887;GO:0048193;GO:0048308;GO:0016020;GO:0030427;GO:0070271;GO:0003674;GO:0005938;GO:0005933
YHR212W-A	GO:0005737;GO:0008150;GO:0003674;GO:0012505;GO:0005783
YDR082W	GO:0051052;GO:0033043;GO:0005634;GO:0032200;GO:0003677;GO:0005694
YDR348C	GO:0005737;GO:0030427;GO:0003674;GO:0005938;GO:0008150;GO:0005933
YKL182W	GO:0005737;GO:0006629;GO:0016829;GO:0005739;GO:0032787;GO:0016740;GO:0016491
YDR333C	GO:0005737;GO:0051603;GO:0005840;GO:0003674;GO:0006417;GO:0006414
YKL018C-A	GO:0005737;GO:0008150;GO:0003674
YPL027W	GO:0051321;GO:0016020;GO:0003674;GO:0043934
YIR012W	GO:0005737;GO:0042273;GO:0005840;GO:0042255;GO:0051082;GO:0070925
