gene	strain	set	sample
BCS1	UWOPS87	original	GbackP2A10
CHL1	UWOPS87	original	GbackP2B10
MMM1	UWOPS87	original	GbackP2C10
SLM1	UWOPS87	original	GbackP2D10
SLM4	UWOPS87	original	GbackP2E10
AVL9	UWOPS87	original	GbackP2F10
HOC1	UWOPS87	original	GbackP2G10
ERG2	UWOPS87	original	GbackP2H10
ERG5	UWOPS87	new	GbackP2A11
YNL298	UWOPS87	new	GbackP2B11
RPL12B	UWOPS87	new	GbackP2C11
PBY19 (WT)	UWOPS87	new	GbackP2E11
ERG5	UWOPS87	original	GbackP2A12
YNL298	UWOPS87	original	GbackP2B12
RPL12B	UWOPS87	original	GbackP2C12
GAS1	UWOPS87	original	GbackP2D12
PBY19 (WT)	UWOPS87	original	GbackP2E12
