ORF	Sulfometuron methyl 	MMS 	Clotrimazole 	Benomyl 	Plumbagin 	Hydroxyurea 	Artemisinin 	Amantadine hydrochloride 	4-Hydroxytamoxifen 	Usnic acid 	Sodium Azide 	Nystatin 	Neomycin sulfate 	Caffeine 	Menthol 	Verrucarin 	Valinomycin 	Trifluoroperazine 	Tamoxifen 	Raloxifene 	Pentamidine 	Nigericin 	LY-294,002 	Latrunculin B 	Hydroxyethilhidrazine 	Hydrogen peroxide 	Hoechst 	Harmine 	Haloperidol 	Fenpropimorph 	Emetine 	Dyclonine 	Doxycycline 	Cyclopiazonic acid 	Clomiphene 	Cisplatin 	Chlorpromazine 	Cerulenin 	Calcium ionophore 	Anisomycin 	Amphotericin 	Amiodarone 	Alamethicin 	Actinomycin 	Abietic acid 	Wortmannin 	Staurosporine 	Conine 	Parthenolide 	Radicicol 	Mitomycin C 	Trichostatin A 	FK506 	Brefeldin A 	U73122 	Tunicamycin 	Thialysine 	Rapamycin 	Phenylarsine oxide 	Phenantroline 	Oligomycin 	Nocodazole 	Hygromycin B 	Extract 95-57 	Extract 6592 	Extract 00-89 	Extract 00-303C 	Extract 00-243 	Extract 00-192 	Extract 00-132 	Emodin 	Desipramine 	Cytochalasin A 	CG4-Theopalauamide 	Caspofungin 	Camptothecin 	Basiliskamide 	192A4-Stichloroside 	Papuamide B 	Agelasine E 	Fluconazole 	Geldanamycin 
YKR021W	0.197	0.32335	-0.257225	0.404975	0.101625	-0.270875	0.343325	0.052325	-0.060075	0.106475	0.316025	0.007675	-0.316675	0.059975	-0.19525	0.21235	0.336	-0.2014	-0.1818	-0.055175	0.451925	0.1479	-0.21875	-0.020175	-0.016125	-0.07395	0.241525	-0.072175	0.08085	0.164725	-0.31755	-0.246325	0.2842	-0.246025	-0.00405	-0.022775	0.187525	-0.2498	-0.25375	0.08465	-0.3017	-0.032925	-0.113975	0.1414	-0.1982	0.074525	0.006725	-0.4062	-0.34375	0.28175	0.062525	-0.070925	0.175475	0.1653	-0.223875	-0.210625	-0.20845	-0.427175	0.093975	0.558	0.151225	0.152525	-0.0198	0.674225	-0.086075	0.16145	-0.128675	-0.1958	-0.2227	0.171	0.1206	0.017725	-0.006875	0.1537	0.422525	-0.2295	0.07615	-0.33225	-0.393375	0.2157	0.24185	0.24645
YDR085C	0.27215	-0.20315	-0.21235	-0.096225	-0.138875	-0.21415	-0.089225	-0.021425	0.01155	-0.205	-0.010675	0.089425	-0.1868	0.22245	0.013775	-0.167575	-0.38925	-0.047075	0.06365	-0.131875	0.426575	-0.228375	0.00795	0.061825	0.16875	-0.1231	0.033175	-0.054875	0.105625	0.11685	-0.007425	0.20165	-0.037275	0.013875	-0.003825	0.033175	0.03595	-0.0323	-0.01045	-0.1378	-0.240925	0.05555	-0.16	-0.10345	-0.095625	-0.1495	-0.126425	0.13105	0.015625	0.049975	-0.4152	0.066375	0.15975	-0.10775	-0.087375	-0.2227	0.186625	-0.46015	0.043925	0.0648	-0.07345	0.046625	-0.1425	-0.37085	-0.02865	0.1009	-0.01665	-0.033625	-0.329075	-0.1375	0.0556	-0.01085	0.141775	-0.226275	-0.18445	0.185525	-0.24945	-0.36335	0.081675	-0.0478	-0.036175	0.315025
YHL019C	0.29485	0.39225	1.1791	-0.0992	0.059425	0.205	0.604	3.265875	0.8106	0.717125	0.155725	0.14095	0.48985	0.089925	0.2477	0.7768	1.173075	2.7967	1.493275	0.2036	0.91345	1.784425	0.0231	0.370025	0.0148	0.6598	0.254325	-0.099375	0.6645	0.116075	-0.47065	0.1539	0.61665	-0.124	1.372325	-0.081775	2.2412	0.323475	0.22665	0.1339	0.545975	3.129575	0.184925	0.472825	-0.247675	0.5347	-0.16385	-0.284425	-0.244775	0.275725	-0.6193	-0.182575	0.361475	-0.0386	0.324875	0.3928	0.243875	0.06495	0.1936	0.33575	0.370775	0.30255	0.361875	-0.297875	0.13105	0.592875	-0.120375	-0.52285	1.668875	1.615175	0.407875	5.09305	0.3167	1.21105	-0.3528	0.436475	0.4751	1.38175	1.04815	0.284575	0.499325	-0.080275
YLR362W	-0.1769	0.265125	-0.26035	0.00885	0.11625	0.0498	0.37925	1.591175	0.342925	-1.419125	-0.192075	-0.3805	0.235625	0.13085	0.160725	-1.19075	-2.518825	0.22665	0.2381	0.197675	1.46415	-0.9319	0.339425	0.319275	-0.10445	0.089575	-0.0241	0.2932	0.5456	0.521525	-0.13255	0.23555	0.2392	-0.0597	0.05035	0.24915	0.5512	-2.025425	0.138975	-0.02205	-0.755225	-0.557775	0.39195	-0.3312	-0.01585	-2.113225	0.1629	0.651475	0.7307	-0.506225	-0.13395	0.26795	-0.335825	-0.24625	-0.2693	-0.30085	-0.06815	0.1189	0.3555	2.17285	-0.14215	0.521075	-1.0431	0.324	0.08685	0.344775	-0.216	-0.139575	-3.6189	-2.489875	-0.32055	0.514225	-0.018475	-1.10215	1.842775	0.3903	0.0045	-1.513625	0.37175	0.144325	-1.089225	-0.201725
YBR273C	0.005475	-0.121775	0.012725	0.187625	-0.022375	0.052975	-0.110825	-0.021025	-0.112725	0.368525	0.21635	0.04205	0.0831	0.10735	0.278625	0.16075	0.662325	-0.013175	-0.043	-0.122575	0.878025	0.1682	0.1617	-0.0206	-0.087575	0.19845	0.252075	-0.072125	0.10645	0.0148	-0.26845	-0.11345	0.113325	0.07895	0.11565	0.0861	0.120425	0.5153	-0.310675	-0.032625	0.174175	0.228275	-0.02705	0.00765	-0.083125	0.147	0.10375	0.01895	-0.178025	0.101225	0.4538	0.054975	0.0205	0.00305	0.03215	0.08895	0.0594	-0.3544	-0.016525	0.23355	0.3076	0.085425	0.188325	0.072425	0.0159	-0.0357	0.001625	0.0612	0.255025	0.054625	0.28125	0.2394	0.00835	-0.043625	0.14095	-0.172025	0.427	-0.07445	-0.31625	-0.07365	0.054275	-0.151375
YLR289W	-0.432175	-0.378125	-0.17075	0.343825	-0.383225	-0.04425	-0.660025	-0.3597	-0.0052	-1.3808	-0.665325	-0.085175	-0.6828	-0.158575	0.05595	-0.413025	-1.3146	-0.58465	-0.330825	-0.8311	-0.929125	-0.719225	0.027325	0.1804	-0.359125	-0.69245	-0.513725	-0.186525	0.165475	0.199575	0.36895	0.163625	-0.331525	-0.330975	0.025975	-0.312025	-0.312025	-1.06465	0.07115	0.33185	-0.3733	-1.7129	-0.02225	0.5937	-0.013475	0.6296	0.0706	-0.350775	-0.3164	0.622925	-0.08535	-0.240775	-0.11345	-0.0237	-0.169225	-0.0283	-0.1349	-0.0977	-0.4029	1.056175	-0.335375	0.207275	0.292075	-0.414925	-0.5125	-0.01055	-0.1836	-0.22155	0.35515	1.304	-0.373825	-0.3985	0.0177	-0.119675	-0.29885	-0.017575	-0.672975	-0.51065	-0.21655	-0.35915	-0.586375	0.4043
YGR134W	-0.2832	-0.515475	-0.179	-0.0357	-0.158925	0.124575	-0.2757	-0.614425	-0.334675	-1.10795	-0.724175	-0.124725	0.032675	-0.00075	-0.264175	-0.987525	-1.182925	-0.475925	-0.2284	-0.686825	-0.98555	-0.43185	-0.316775	-0.1699	-0.4471	-1.08245	-0.34135	-0.51725	0.04515	-0.254325	-0.7253	0.2701	-1.350325	-0.045225	-0.22285	-0.369025	-0.210175	0.3465	-0.15905	-0.043825	-0.378525	-1.846425	-0.326975	-0.09455	-0.025425	-0.03385	-0.274025	0.052025	-0.118575	-0.534475	-0.032575	0.1446	-0.205975	-0.23725	-0.25805	-0.042875	-0.053625	0.2955	-0.5885	-0.470925	-0.080425	-0.247125	-0.4256	-0.1986	-0.0708	0.11615	0.09475	0.003175	-0.96515	-1.0571	-0.41665	-0.602125	-0.48945	-0.5779	-0.49775	-0.423825	-0.043425	-0.94225	-0.117375	-0.3149	-0.201575	-0.0954
YDL012C	-0.208625	-0.1584	-0.02225	-0.669225	-0.122825	-0.38645	-0.0895	-0.717575	0.1741	-0.260525	-0.452375	0.05295	-0.524125	-0.038725	-0.344375	-0.159925	-0.02395	-0.356425	-0.03735	0.252375	0.069725	-0.394025	-0.167275	0.002825	-0.078575	0.080175	-0.07145	-0.073675	-0.0524	-0.459075	-0.19015	-0.21275	0.301775	-0.261575	0.0682	0.006175	-0.186075	0.1697	0.368375	-0.192975	-0.335375	-0.1966	-0.0518	-0.2016	0.030625	0.033175	0.18365	0.18675	-0.10655	-0.14685	0.388475	-0.098275	0.192575	0.12845	-0.06345	-0.1629	0.058375	-0.250825	-0.099225	-0.3656	-0.2995	-0.095775	-0.09515	-0.360575	-0.0677	0.2325	0.22815	0.248325	-0.5974	-0.637125	-0.764675	0.147	0.12125	-0.447275	-0.676125	0.137525	-0.912175	-0.427625	0.33105	-0.124175	0.56175	-0.006625
YOR100C	-0.0215	-0.203475	-0.201	-0.109275	-0.026675	-0.1476	-0.261825	-0.59005	-0.043775	-0.354375	-0.22465	-0.030725	-0.319475	-0.04405	-0.240075	-0.259475	-0.210175	-0.0933	0.019875	-0.2508	-0.198625	-0.2481	-0.162275	-0.23275	-0.263925	-0.452275	-0.151775	0.092175	-0.079425	0.055075	0.0274	0.021	-0.013725	0.052525	0.09825	-0.078475	-0.160075	-0.5003	0.0395	0.0122	-0.09555	-0.35125	-0.022325	-0.031325	0.093075	-0.05035	-0.12735	0.078725	-0.08725	-0.0529	0.011975	0.0287	0.05945	-0.1603	-0.08725	-0.0142	0.073	-0.209475	-0.16475	-0.290475	-0.363025	-0.270625	-0.17835	0.1711	-0.181325	0.06015	0.031575	-0.010925	-0.286625	0.236025	-0.386125	-0.0545	0.059225	-0.41155	-0.3344	0.28285	-0.697275	-0.13775	-0.12055	-0.169225	-0.03665	-0.081
YOR212W	-0.1143	0.161875	-0.327325	0.0167	-0.1748	-0.084625	0.30815	1.12075	0.13485	-1.54375	-0.113675	-0.342525	0.005375	0.028	0.22785	-0.531575	-2.353325	0.04495	-0.0211	-0.00855	0.846525	-0.507075	0.247725	0.319775	0.083525	-0.231475	0.098875	0.009175	0.311825	0.332875	-0.289025	0.146375	-0.215675	0.038	-0.070425	0.13885	0.2541	-1.01775	-0.1343	-0.05955	-0.45965	-0.243475	0.190625	-0.316825	0.18975	-1.4082	0.0365	0.07235	0.28905	-0.373425	-0.13375	0.151575	-0.021275	-0.425075	-0.364475	-0.08425	-0.00845	-0.118625	0.431175	0.840275	-0.295825	-0.110225	-0.979525	0.60065	-0.116525	0.133225	-0.1804	-0.200075	-3.73725	-1.180275	-0.019175	-0.06145	-0.19465	-1.056575	0.8897	-0.0348	-0.23775	-1.9777	-0.311225	0.051275	-0.456025	-0.0884
