ORF	Sulfometuron methyl 	MMS 	Clotrimazole 	Benomyl 	Plumbagin 	Hydroxyurea 	Artemisinin 	Amantadine hydrochloride 	4-Hydroxytamoxifen 	Usnic acid 	Sodium Azide 	Nystatin 	Neomycin sulfate 	Caffeine 	Menthol 	Verrucarin 	Valinomycin 	Trifluoroperazine 	Tamoxifen 	Raloxifene 	Pentamidine 	Nigericin 	LY-294,002 	Latrunculin B 	Hydroxyethilhidrazine 	Hydrogen peroxide 	Hoechst 	Harmine 	Haloperidol 	Fenpropimorph 	Emetine 	Dyclonine 	Doxycycline 	Cyclopiazonic acid 	Clomiphene 	Cisplatin 	Chlorpromazine 	Cerulenin 	Calcium ionophore 	Anisomycin 	Amphotericin 	Amiodarone 	Alamethicin 	Actinomycin 	Abietic acid 	Wortmannin 	Staurosporine 	Conine 	Parthenolide 	Radicicol 	Mitomycin C 	Trichostatin A 	FK506 	Brefeldin A 	U73122 	Tunicamycin 	Thialysine 	Rapamycin 	Phenylarsine oxide 	Phenantroline 	Oligomycin 	Nocodazole 	Hygromycin B 	Extract 95-57 	Extract 6592 	Extract 00-89 	Extract 00-303C 	Extract 00-243 	Extract 00-192 	Extract 00-132 	Emodin 	Desipramine 	Cytochalasin A 	CG4-Theopalauamide 	Caspofungin 	Camptothecin 	Basiliskamide 	192A4-Stichloroside 	Papuamide B 	Agelasine E 	Fluconazole 	Geldanamycin 
YOL023W	0.0334	0.561025	-0.209075	0.64975	0.26125	0.252775	0.5236	-0.04285	0.1566	0.95525	1.750475	-0.03365	-0.0299	-0.274525	0.2917	0.008125	1.008625	-0.34165	-0.093	0.10305	-0.0561	0.3794	0.106625	-0.01415	0.1276	0.840025	-0.077775	0.614	0.390375	0.40815	0.0776	0.077825	0.41285	0.09045	0.02725	-0.19445	0.166575	-0.11205	-0.126775	-0.187375	0.0596	0.243825	0.1951	0.110925	-0.3175	-0.38555	-0.069225	0.191125	0.1059	-0.007575	-0.0745	0.1681	-0.01705	-0.198575	-0.189575	0.50875	-0.069725	1.026775	-0.317125	0.089575	0.237525	0.24205	0.01795	0.8429	0.18175	0.413225	0.0712	-0.422425	-0.353075	0.0031	0.1413	-0.0035	-0.02595	0.226875	-0.25875	-0.4545	0.3404	-0.79425	-0.0792	0.193275	0.250175	-0.301775
YGR068C	0.0886	-0.250225	-0.049075	-0.1688	-0.3209	0.16505	0.104325	-0.49075	0.0036	-0.004425	-0.24065	-0.11365	0.193925	-0.02355	0.00805	-0.214	0.042025	  	-0.105325	-0.271425	  	  	-0.169725	  	-0.248875	-0.3533	  	-0.01965	0.00545	-0.121475	-0.0234	-0.691075	-0.23655	-0.267975	  	  	  	  	0.13945	0.13205	-0.365825	-0.009375	  	-0.093	0.08555	0.17365	-0.064975	0.17545	0.2185	  	  	-0.12815	0.041875	0.038275	0.10635	-0.136925	-0.067575	0.0688	0.059225	0.336425	0.018375	0.0082	0.08015	-0.305375	0.0805	0.062375	0.1463	0.0373	-0.548475	-0.291975	-0.18835	-0.062575	-0.16555	0.102475	-0.491225	0.15085	-0.165825	-0.43495	-0.382275	0.01865	0.1371	-0.13895
YOR324C	-0.031225	0.382675	-0.1845	0.023675	0.11255	-0.129925	0.2686	-0.146675	-0.1821	-0.43985	0.171325	-0.314925	0.139725	0.0378	-0.2304	-0.155175	-0.3125	-0.23685	-0.111625	-0.0496	0.871325	-0.03905	0.016225	-0.2863	-0.0075	0.184575	-0.13815	0.0898	0.044125	-0.13745	-0.42315	-0.517375	-0.196625	0.096975	-0.026275	0.05645	0.02765	0.242	0.28145	-0.041275	-0.043625	-0.203475	-0.223325	-0.0148	-0.1074	-0.5316	-0.091275	-0.4545	0.068625	0.07695	0.251775	0.025975	-0.285225	-0.052175	0.1012	-0.077525	0.055125	-0.1472	-0.095	0.35825	-0.012275	-0.516	0.227475	0.1519	-0.15475	-0.089225	0.142975	-0.07605	-1.135725	-0.8291	0.19265	-0.08625	-0.213175	-0.643625	-0.037625	0.1427	0.403825	-0.831175	-0.139625	0.08035	-0.330575	-0.099125
YEL038W	0.234975	-0.190575	-0.206775	0.437125	-0.010175	0.00145	-0.02055	0.379	-0.045725	0.15375	0.231025	-0.093325	0.12595	0.08375	-0.059975	0.0858	0.106975	-0.1861	-0.037175	-0.1793	0.6135	0.04155	-0.002475	0.114525	0.114725	-0.23465	-0.099975	0.0429	0.018325	-0.049925	0.030275	0.03635	0.1078	-0.15315	-0.091975	-0.0263	-0.115275	-0.027275	-0.242675	-0.0694	0.169375	-0.13735	-0.067425	-0.03405	0.087125	-0.45145	0.0317	-0.082	-0.16365	0.265525	-0.34585	0.0245	0.166725	-0.020025	-0.20825	-0.006725	-0.063375	-0.07205	-0.010775	-0.1156	0.367275	-0.07575	-0.116825	0.214225	0.0429	-0.1424	-0.266525	0.017	0.146425	0.5772	0.526575	-0.025975	-0.19855	0.3535	0.092125	0.024125	0.331275	-0.223125	-0.2153	-0.16785	0.005375	0.166925
YBR053C	0.20735	-0.3209	-0.126925	0.014375	0.01585	-0.276225	-0.307075	-0.230925	0.1408	0.10715	0.04615	0.01215	-0.402225	0.003575	-0.22455	-0.3842	-0.122225	-0.2569	-0.192075	-0.2151	0.082275	-0.326075	-0.383025	0.113975	-0.2118	-0.247525	-0.2054	-0.154325	-0.154325	0.41225	0.076925	-0.0515	-0.24685	0.2306	-0.074225	-0.159925	-0.25755	-0.241975	-0.314425	-0.45905	0.1585	-0.343275	-0.217875	0.1051	0.268825	-0.257475	0.14065	-0.188	0.128175	-0.2124	0.617425	-0.1631	0.346575	-0.31115	-0.186925	0.09685	-0.231075	0.207375	0.019275	-0.27725	0.0349	-0.01875	-0.056925	-0.371625	-0.1287	-0.52945	0.396675	0.02035	0.11035	-0.067525	-0.1159	-0.09425	0.259825	0.020025	-0.3327	0.086075	0.3147	-0.2733	-0.0665	0.068525	0.168425	-0.126825
YOR267C	0.034825	-0.11425	-0.162725	-0.52305	-0.1987	-0.1117	-0.221775	-0.48165	0.160575	0.5016	0.384	-0.1298	0.96545	-0.0051	-0.2274	0.42275	0.33415	0.1843	0.0097	-0.461425	-0.49065	0.0758	-0.1095	-0.020175	0.2041	0.4637	0.1404	-0.356075	-0.144825	-0.07065	-0.523575	-0.334825	0.1798	-0.170775	0.07375	-0.001125	-0.084975	-0.021375	-0.316375	0.41945	0.390875	-0.069925	-0.195525	0.310675	-0.2945	0.8377	-0.318675	0.68035	-0.8974	-0.036625	0.245775	0.06855	-0.049725	0.4489	0.057625	0.235225	0.43465	0.3789	0.256825	-0.454275	0.018225	0.088875	-1.05315	-1.155425	0.03435	-0.23105	-0.138575	0.07315	1.88625	1.203925	-0.0121	-0.168875	0.01175	0.563075	-0.777325	-0.14315	-0.4069	1.642325	-0.00695	-0.1321	-0.00085	0.02295
YOR089C	0.98485	-0.085	-0.6981	0.64885	0.3581	0.128725	-0.515975	1.4628	0.508825	0.7956	-0.565275	0.21285	2.33085	0.686325	0.29365	0.4102	-2.06005	0.4577	0.00225	0.6319	-0.98775	2.490225	0.429775	0.0794	-0.109325	1.2279	-0.05305	-0.129175	-0.12325	-0.517225	-0.1127	-0.9034	1.10775	-0.121175	0.024075	0.685075	0.389925	-0.204975	-0.522425	-0.026975	-0.9566	0.82275	-0.2059	1.651675	-0.442525	-0.060625	0.3496	-0.2407	-0.1932	1.132825	0.163975	1.0654	-0.21705	0.336775	0.412875	1.25925	0.72685	0.8886	0.4323	-0.73	-0.233525	1.00335	1.86505	1.010825	-0.3711	-0.15985	-0.18	-0.5963	0.9361	1.63685	0.118475	0.8795	1.52895	1.2682	0.914625	0.5929	-0.4806	-0.73065	0.984675	-0.067725	1.601675	1.50405
YGL005C	-0.093425	0.200825	-0.65325	0.4745	0.103625	-0.027625	-0.2577	0.4466	0.335525	-0.596125	-0.7716	0.457675	1.48895	0.0509	0.79575	0.4461	0.541525	0.372775	0.050875	0.7278	-0.34325	3.710775	0.408175	1.35305	0.112425	0.032625	0.013775	-0.202875	0.08785	-0.097275	-0.20705	-0.697025	-0.29755	-0.025175	0.01725	0.108725	0.73635	0.31835	-0.00285	0.206275	1.5967	-0.278925	0.75505	0.0754	0.606575	0.4802	0.27815	0.061375	0.731575	1.1879	-0.317625	0.852775	0.05555	1.543475	1.71575	1.318575	-0.3172	0.12355	-0.27345	-2.250275	-0.053825	-0.25085	1.4442	-0.4998	-0.199575	-0.796725	1.40635	0.079325	-1.37295	-0.5811	0.924175	0.810175	0.802625	-0.038725	0.949075	-0.33005	-0.322925	-1.364225	2.84775	-0.4742	0.0537	2.4657
YLR423C	0.19255	0.20025	0.00865	-0.00555	0.02115	-0.1503	-0.0536	-1.36735	0.3528	0.9443	0.3781	0.226	0.0518	-0.42295	0.04515	0.14825	-0.04	0.1637	0.01395	0.0945	0.0181	0.2747	0.2184	-0.36205	-0.2618	-0.0469	0.2792	-0.1483	-0.0578	0.0457	-0.0978	0.97575	-0.25075	-0.4773	-0.24755	-0.05215	-0.2089	-0.2037	-0.5124	0.24825	0.15345	0.12755	0.03695	0.39785	0.49975	0.2027	-0.2502	-0.14855	-0.47165	-0.00925	0.1451	-0.4366	-0.0758	0.174	-0.2424	0.10155	-0.23545	0.3368	0.02975	-0.06915	0.4453	0.1351	0.49105	0.46005	0.364	-0.1094	0.21095	-0.245	0.4862	-0.1734	0.03275	-0.08105	0.2982	-0.4069	0.1969	-0.42445	0.69985	-0.3308	-0.39875	-0.2731	-0.60925	0.18915
YIL002C	-0.011625	-0.084825	1.6252	-0.14545	-0.016575	-0.050625	-0.30955	0.9216	0.2272	-0.808425	0.17395	0.0214	3.68585	0.068625	0.1214	0.41525	-1.118325	0.383475	0.254175	0.653525	0.606325	0.000275	0.171775	0.113025	0.187275	0.085675	-0.880275	0.177925	0.393225	0.181975	0.0647	0.230075	0.556825	0.228275	0.1125	-0.089	0.465175	-0.19875	0.414	0.240675	-0.29265	0.6535	0.76345	0.7759	0.153075	-1.87115	0.047925	0.1622	-0.0843	0.331175	0.211925	-0.2598	0.1002	0.171925	0.87365	-0.0427	-0.13485	-0.56275	-0.215675	-0.46335	0.19765	-0.167675	0.469225	-0.243725	-0.03935	-0.3789	-0.0618	-0.2782	-2.46345	-1.845375	0.394925	0.19015	0.031675	-0.4963	0.483175	0.137075	0.1613	-1.390375	0.808225	-0.156675	1.148575	0.020525
YDR530C	-0.051725	0.0977	0.32615	-0.58695	0.3748	0.481425	0.119775	0.193725	-0.446025	0.2638	0.416475	-0.182775	-0.18465	-0.039975	0.3585	0.63175	0.960975	-0.462875	-0.0435	0.060525	-0.0344	0.808975	0.034025	-0.008525	0.484	-0.276475	-0.26895	-0.019275	-0.20585	0.205575	0.381775	-0.08155	-0.2533	0.03685	-0.2466	0.227925	-0.244175	2.33785	-0.083925	0.18525	0.89655	0.1476	-0.053375	-0.106275	-0.0982	1.38615	0.129325	-0.227075	0.05615	-0.034525	0.028025	0.378075	-0.27295	0.2929	0.34015	0.2884	0.7434	-0.1993	-0.129725	-0.288825	0.36255	0.266775	-0.065875	-1.205275	0.553	-0.3586	-0.038975	0.14305	-0.070625	-0.54165	0.59025	-0.3653	-0.1743	-0.154025	-0.22395	0.100825	0.149325	-0.0323	-0.052025	-0.078975	0.472325	0.24775
YLR084C	-0.026775	0.008525	-0.17835	0.227575	-0.098	-0.012225	-0.02605	0.057375	-0.09055	-0.052475	0.11075	-0.020725	-0.000575	-0.00435	0.028925	  	0.0863	-0.088875	-0.046775	-0.041925	  	  	0.044275	  	0.07715	  	  	0.0248	0.03575	-0.023075	  	-0.426275	  	-0.4075	0.0282	-0.0013	  	-0.1523	-0.298225	0.030225	0.0165	0.03195	  	  	0.012625	-0.04025	  	-0.014425	0.245025	  	  	  	-0.095175	-0.021575	-0.002	0.021675	0.065225	-0.167175	-0.056575	0.067375	0.04625	-0.01795	0.181775	0.240175	-0.05765	0.063275	-0.086625	-0.0252	-0.440875	-0.081175	0.1882	-0.199975	-0.0589	-0.433475	-0.2223	-0.0601	0.087625	-0.217375	-0.161825	0.003425	0.062625	0.02635
YJL168C	0.023475	0.298275	0.0499	0.1866	0.38315	0.283125	0.318175	1.11325	0.111725	-0.1405	-0.6822	0.32345	0.1017	0.33955	-0.016725	0.210025	-0.67445	0.343775	0.3144	0.494975	0.64385	0.112625	0.005625	0.092675	0.122025	-0.336025	0.24215	0.184775	0.1818	0.24325	0.077875	0.068	-0.170325	-0.02665	-0.031225	0.245475	0.49595	-0.065325	-0.2482	-0.094025	-0.070025	0.188925	-0.008825	0.17785	-0.099525	0.546225	-0.0991	0.085325	0.012325	0.07535	-0.0537	0.6237	-0.122475	0.120075	-0.264275	-0.04445	-0.041375	0.577025	-0.01235	-0.400225	0.052275	0.49215	0.672775	0.5351	-0.064375	0.233525	-0.25155	-0.0559	-0.586925	-0.134775	0.17125	0.5198	0.1198	-0.169275	0.4426	0.0565	-0.15735	-0.17945	0.3053	0.243525	0.0632	-0.088175
YCR098C	0.03255	0.3734	0.127925	-0.0258	0.092225	0.035225	0.3361	-0.280625	-0.054275	0.45555	0.18785	-0.184925	0.337075	0.056875	0.174875	0.1503	1.33235	0.222025	0.138525	-0.054175	1.14615	0.451325	-0.064225	0.1551	-0.14665	0.291675	-0.000625	0.209775	-0.06185	-0.489875	-0.13385	-0.286125	0.28365	-0.052925	-0.036225	-0.280625	-0.13435	0.09705	-0.184275	0.071875	0.03495	0.528125	0.202075	-0.134925	0.21145	0.159475	-0.005625	-0.0926	-0.5658	0.230975	-0.0063	-0.1596	0.20385	0.2277	0.0815	0.018125	0.020275	0.027975	-0.20065	0.245725	0.0612	-0.007775	0.24175	0.043675	0.4018	0.01025	-0.145775	-0.00035	1.2959	0.2365	0.3448	-0.21925	-0.14295	0.36605	0.081425	-0.0038	0.457475	0.404475	0.116525	-0.085975	0.217325	0.1584
YPR037C	0.1214	-0.301475	0.17485	-0.0651	-0.05	0.0632	-0.036725	-0.491075	0.014775	0.30005	-0.1027	-0.05365	-0.034525	0.029025	0.04345	-0.030925	-0.1556	-0.0053	-0.110375	-0.033825	-0.185	-0.1758	0.0137	0.094425	0.079675	-0.5673	-0.155275	-0.026275	-0.129125	0.153875	-0.00225	-0.51425	0.13525	-0.105775	-0.036225	0.297125	-0.1467	0.008375	0.095525	-0.01915	-0.154975	-0.1905	-0.25175	-0.0688	0.04505	0.07025	0.30155	0.071325	0.078025	0.19855	-0.190775	-0.0406	0.318025	-0.017275	-0.2454	0.10115	0.06955	-0.10095	0.266125	-0.49985	-0.3974	0.1994	-0.318925	0.086175	-0.080425	-0.153	0.184025	0.03065	0.272725	1.219925	0.221425	-0.1707	-0.041225	0.7963	-0.146825	-0.028975	-0.077325	-0.227475	-0.11435	-0.05495	0.2509	0.57465
YDR419W	-0.0543	0.10555	-0.002525	-0.19375	0.0285	-0.060225	-0.109025	-0.24815	-0.068875	-0.0309	0.06065	0.04725	0.005425	0.02495	-0.153325	-0.157025	-0.090225	0.036975	-0.026875	-0.119975	-0.2226	0.022375	0.13665	-0.21095	-0.02925	-0.11405	-0.08155	0.11435	0.05715	0.01535	-0.032025	0.0951	-0.067775	0.16285	0.0744	0.156675	-0.16695	-0.0806	0.081575	0.0043	0.11375	-0.07645	0.193075	-0.140925	0.02275	-0.092675	0.0956	-0.22135	-0.128975	0.233775	-0.035325	-0.01165	0.142675	0.01945	-0.044275	-0.1795	0.03635	-0.160675	0.007	-0.003025	-0.115825	0.250975	-0.093	-0.197275	0.077975	-0.048	-0.1394	0.030725	0.252375	-0.061825	-0.0279	0.105475	-0.1024	-0.011725	-0.084575	0.01685	0.074525	-0.050775	-0.03045	0.029475	0.161725	0.055475
YPL045W	0.09195	0.08505	-0.23775	0.192	0.12825	-0.14995	-0.16385	0.00205	0.19665	0.05075	-0.38925	0.16745	-0.1111	-0.0296	0.1625	  	0.0478	  	-0.078	-0.07415	  	  	-0.24785	  	0.0041	  	  	  	0.1321	  	  	-0.00705	  	  	  	  	  	  	-0.89735	  	  	  	  	  	-0.10375	0.24295	  	  	-0.18865	  	  	  	0.0224	-0.03995	0.0508	-0.069	  	0.05375	  	  	-0.1807	0.0693	0.0218	0.07465	0.2559	-0.4857	-0.00885	0.0323	0.3206	  	0.15735	-0.0019	-0.07835	0.0298	0.03175	0.0089	0.0762	-0.1339	  	  	  	  
YDR457W	0.0403	-0.2204	-0.32575	0.231	-0.6963	0.3896	-1.194775	-0.17805	-0.17915	-0.635225	-1.1805	-0.441925	0.897075	1.180775	-0.754825	  	-1.85065	-0.153325	-0.0158	-0.3284	-0.1822	-0.534575	-0.09115	-0.111425	-0.060725	0.4071	0.101925	-0.337025	-0.111625	-0.146475	0.98945	-0.14975	  	0.290375	-0.255775	-0.14905	-0.0755	-0.535075	0.253925	-0.114675	-0.647875	-0.079075	0.061775	-0.14435	-0.74905	0.87795	-0.12155	0.0937	0.248575	-0.08	-0.2149	-0.67195	0.49825	-0.1327	-0.488275	0.20855	0.565575	0.5122	-1.26305	-0.113975	-0.66005	-0.860675	-0.48965	0.57845	-0.545875	-0.064575	-1.224925	-0.373975	-2.097075	-0.1469	-0.2997	0.03325	0.309975	-0.212725	-0.5041	-0.09845	-0.278325	-0.24865	-0.3315	0.165	-1.006175	0.969525
YCR032W	0.146375	0.10925	-5.00000000000084E-05	-0.31845	0.498475	0.42905	0.1302	0.8551	-0.39075	-0.218825	0.106375	-0.14515	-0.3531	0.036825	-0.214925	0.208175	-0.085125	0.059675	0.057975	-0.1119	0.68195	0.21095	0.028875	-0.1664	-0.067225	-0.252825	0.23505	-0.013125	-0.011475	0.17205	-0.222025	0.3963	0.03555	0.065075	0.09385	0.00155	0.4342	-0.217725	-0.36835	-0.048175	-0.011075	0.256025	0.119725	-0.257475	-0.258325	0.29915	-0.040475	0.350025	-0.2738	0.431025	-0.122425	-0.20715	-0.058475	-0.007725	0.0752	-0.4292	-0.104525	-0.133125	-0.206225	-0.267275	0.129325	0.545125	-0.005425	-0.6683	-0.143675	-0.203125	-0.04435	-0.327825	-0.395375	0.142	0.414125	0.37835	-0.12875	0.102825	0.2408	-0.0307	-0.32855	-0.13345	0.320825	-0.064675	0.4247	0.0634
YBR147W	0.738875	-0.096425	0.042225	0.3534	-0.2606	0.06875	0.205575	0.15175	0.368525	0.1894	0.2488	0.15255	0.14815	0.3034	0.2407	0.378075	0.536925	0.1739	0.411325	0.272175	-1.301475	0.07635	-0.20455	0.084125	0.174175	-0.2099	-0.526525	0.28015	-0.006325	-0.400425	0.146875	-0.893875	-0.56545	-0.25705	-0.011425	0.382375	-0.20995	0.90145	0.20395	-0.20305	0.328625	1.529375	0.203475	-0.133025	0.109075	0.4368	0.511775	-0.216175	0.12355	1.286825	0.338825	-0.1984	0.059225	0.49465	0.474175	0.03145	-1.653	0.670475	3.734225	-0.8627	0.157125	0.405825	-0.028825	-0.243975	0.313325	-0.10235	0.60135	0.342075	0.6199	1.245075	0.065525	0.2743	0.38485	0.91145	-0.307875	0.206175	-0.1346	0.100175	-0.147975	-0.202725	0.280025	0.990025
YKL120W	0.146125	-0.269	0.051075	-0.29875	-0.337575	-0.08575	-0.1832	-0.35875	-0.17305	-0.965625	0.2493	-0.183775	-0.285675	-0.22825	-0.399625	-0.03055	-0.0093	0.0226	-0.110475	-0.411225	-0.726625	-0.060275	0.0027	-0.0422	0.267825	-0.073275	0.177925	0.115625	0.023375	0.2837	-0.074425	0.12565	-1.07465	0.106625	-0.02045	0.0628	0.0289	-0.424425	-0.186775	-0.0217	-0.294075	-0.166575	0.144025	-0.16265	-0.065375	0.029025	-0.32555	0.0236	-0.36455	-0.03035	-0.16975	0.190325	-0.022725	-0.121175	-0.0959	0.02115	-0.08515	-0.014775	-0.0875	0.582675	-0.002	-0.036875	-0.183275	-0.384725	-0.1232	-0.10075	-0.36695	-0.2374	-0.2239	-0.00545	-0.31065	0.17455	-0.18765	-0.08465	0.025725	0.1309	0.081425	0.42775	-0.095375	0.0219	-0.071625	0.400325
YJR113C	-0.13505	0.61805	-0.1899	1.87215	0.3322	-0.151825	1.40975	0.15075	0.364225	0.504925	2.6316	-0.11355	-1.135225	-0.42345	1.763725	0.09615	2.446525	-0.46025	-0.288225	0.95195	  	0.51405	0.44685	-0.0887	-0.133325	2.8312	-0.7389	0.2876	0.430275	0.47855	0.694375	0.195075	-0.5683	-0.188425	0.183325	-0.27415	-0.13055	-0.362675	-0.277525	-0.12535	0.369	0.585475	0.368325	-0.086375	-0.509875	-1.7175	-0.369925	0.2148	0.453625	0.075775	0.057025	0.661425	-0.06985	-0.75215	0.14695	0.04095	0.762	0.3069	0.6183	0.0107	-0.13325	-0.870425	-0.166475	1.26085	-0.099975	-0.1881	-0.714275	-0.3207	-2.03415	-0.77725	1.22565	0.337075	0.098725	-0.48845	-0.672525	-0.83585	0.277675	-0.831325	-0.0296	-0.1361	-0.792325	-0.976625
YBR184W	-0.03305	0.047725	-0.126975	-0.0066	-0.151075	-0.2765	-0.068025	-0.383225	-0.0773	0.155825	-0.136525	0.23455	-0.3522	0.015625	0.2222	-0.02395	0.238425	-0.498675	-0.267875	0.0536	0.233975	-0.03545	-0.042	0.311375	0.129675	0.19455	-0.012175	0.077325	-0.0324	0.027375	-0.037425	-0.99565	0.07265	-0.1503	0.215525	-0.118925	0.22	0.101	-0.3715	0.19945	0.359975	-0.192275	-0.3561	-0.094825	0.00245	0.107075	0.0528	-0.1715	0.402225	-0.03535	0.5349	-0.12205	-0.078625	0.1531	0.119475	0.20195	-0.056075	-0.008325	-0.229025	0.473125	0.234475	0.1737	-0.174475	0.30675	0.026025	0.26045	-0.077325	0.02115	0.047725	-0.035275	0.02495	-0.491475	-0.123625	0.24965	-0.087225	0.373825	0.1574	-0.18855	-0.221725	-0.341675	-0.330875	-0.123675
YJL180C	0.190125	1.122275	-0.04675	0.3585	0.5269	0.15295	0.280175	-0.240025	-0.01155	0.989275	0.100975	0.49865	0.403425	0.37555	0.8778	  	0.38675	-0.176575	-0.060375	0.026225	  	0.97865	0.254575	-0.130275	0.0126	0.78455	-0.006475	  	0.1694	0.597775	0.083925	-0.176475	0.52195	-0.068675	-0.0957	0.026425	  	0.4435	-0.051225	-0.17995	0.972675	-0.0816	0.0931	0.24405	0.027075	0.1224	0.15945	-0.1469	0.1234	-0.404125	0.0783	0.121525	-0.1066	-0.20135	0.08255	-0.012625	0.393425	0.267575	0.604	0.12875	-0.4044	-0.6115	-0.11535	0.111075	1.427025	-0.42105	-0.19785	-0.24055	0.934275	1.005825	0.5724	0.27765	0.017675	0.4548	0.75195	0.099275	0.641175	0.4847	-0.059775	0.307075	  	0.426175
YDL186W	-0.185225	-0.41615	0.32455	-1.05645	-0.214975	0.121375	-0.236725	-0.865075	-0.0751	-0.466975	-0.0066	-0.091425	-0.3676	0.034825	0.103425	-0.112525	0.341975	-0.353875	-0.06955	-0.079825	0.40565	-0.294625	0.064675	-0.168325	0.367125	-0.29595	0.134275	-0.139	-0.03715	-0.395475	0.024475	-0.35015	-0.3735	0.01425	-0.04595	-0.1857	-0.015425	0.154025	-0.087775	-0.6055	-0.361775	-1.217	0.14845	-0.093	0.4126	-0.324925	-0.26675	-0.00115	-0.387625	-0.716925	-0.1113	0.159575	-0.195575	0.02895	0.2147	-0.415	0.268575	-0.462275	-0.098875	0.4118	0.026925	-0.25875	-0.3101	  	0.069425	0.0064	-0.061175	-0.011475	-0.113725	-0.169225	-0.00635	-0.7093	-0.7871	0.818375	-0.627275	0.051475	-0.401475	-0.060675	-0.328525	0.051225	-0.194875	-0.11315
YER122C	0.02345	0.15405	-0.4021	0.5843	0.0156	0.390825	0.03565	-0.187375	-0.044025	-0.077225	1.110825	-0.253775	-0.95165	-0.477425	0.7536	0.142225	0.0568	-0.10775	-0.054	0.15295	  	0.60915	-0.103225	0.02525	0.07835	0.0922	-0.073375	0.10325	0.0488	0.0856	-0.089975	-0.197775	-0.037975	0.217975	-0.012275	0.0067	0.1809	0.071325	-0.05855	-0.00165	-0.023025	-0.043725	-0.141475	-0.0537	0.02375	-0.1693	0.0576	0.166575	-0.1348	-0.025625	  	0.3921	-0.1749	-0.1144	-0.310075	0.26885	0.053775	0.099525	-0.578625	0.004975	0.28745	-0.7124	0.420325	0.86225	-0.065125	0.484	-0.302575	-0.3681	-1.391475	0.279925	0.5556	-0.197275	-0.14855	0.128725	0.0243	-0.31115	0.103	0.10295	0.482775	0.6603	-0.379125	-0.049425
YEL013W	-0.2988	1.04895	-0.727575	0.600375	0.336525	0.426675	0.02455	0.283375	0.519625	-0.938375	-0.98005	0.088825	0.924125	2.9052	0.691025	0.056225	-0.989675	-0.3047	-0.287375	0.2644	-1.10045	-0.182825	0.6491	-0.54455	0.497275	-0.58235	-0.3009	-0.63655	-0.15885	0.018475	-0.202	0.04285	-0.66445	0.4327	-0.53425	-0.15955	-0.02085	1.11725	-0.34615	-0.450575	0.351225	-0.345375	0.317375	0.03395	-0.207625	0.9245	-0.0044	0.0076	-0.17795	0.7899	0.27055	-0.538375	0.17985	-0.059375	-0.084075	0.663725	0.617825	1.32545	1.807025	-0.716225	-0.217575	0.408425	0.184875	0.87695	-0.266975	-0.025225	0.732075	0.300075	0.1987	-0.336175	0.7374	0.171325	0.334375	-0.3937	-0.743675	0.410675	0.056175	-0.041325	0.5724	0.538525	-0.53515	1.306825
YGR163W	0.82845	0.2853	0.071775	-0.540225	0.201975	0.253375	-1.28835	2.6096	-0.020875	-1.28345	-0.479375	0.1279	4.380275	4.683125	1.441	-0.666025	-0.805975	1.094075	0.595225	0.813	-3.16265	-0.11205	0.233625	-0.24035	-0.335325	-2.053	-0.058125	-0.4727	0.347175	-0.469225	0.2739	-0.34745	-1.69265	0.19935	-0.088425	0.673175	2.0647	0.746075	-0.306275	-0.004975	-0.0592	1.034425	0.175775	-0.2798	0.5702	2.143025	1.64095	-0.2409	0.654575	0.647275	0.168375	-0.3199	-0.03605	0.501725	-0.277775	-0.69975	1.12705	0.93335	-0.541475	-1.5906	-0.019475	0.324225	1.777175	0.306225	-0.426275	0.860675	-0.082275	0.07065	-1.370475	-1.219725	0.336425	2.80005	0.200575	-0.097775	2.8018	0.284925	-0.413975	-0.57085	0.118	-0.1606	-0.767	1.78345
YEL040W	0.109075	0.152725	-0.0628	0.117275	0.0385	-0.039725	0.148175	0.207525	-0.1452	0.172525	0.1117	-0.071525	0.0763	0.141525	0.116375	0.1976	0.3179	-0.288775	0.02195	0.051575	0.633175	0.108175	-0.191725	0.06115	0.079975	-0.01975	-0.112425	0.01935	-0.21605	-0.07995	-0.003375	-0.56435	0.029375	-0.035275	-0.048275	0.02305	0.08585	0.406425	-0.4185	-0.010625	0.124175	0.077725	-0.156075	0.060225	0.054075	0.0654	-0.186275	-0.04135	-0.114525	-0.03095	-0.0568	0.07065	-0.08455	-0.032775	-0.196575	0.00825	0.153675	0.1179	-0.00015	-0.145	0.20525	-0.093025	-0.442225	0.060825	-0.1255	-0.264125	0.04095	-0.1123	0.0141	-0.1091	0.0906	-0.056975	-0.0022	-0.14905	0.86245	0.176775	-0.04225	-0.019775	-0.116725	0.032925	0.10665	0.02285
