Row	Column	Strain	Info	Normalization_group
1	1	YOR202W_Y55_08_01_01		1
1	2	YOR202W_Y55_08_01_02		1
1	3	YOR202W_Y55_08_01_03		1
1	4	YOR202W_Y55_08_01_04		1
1	5	YOR202W_Y55_08_01_05		1
1	6	YOR202W_Y55_08_01_06		1
1	7	YOR202W_Y55_08_01_07		1
1	8	YOR202W_Y55_08_01_08		1
1	9	YOR202W_Y55_08_01_09		1
1	10	YOR202W_Y55_08_01_10		1
1	11	YOR202W_Y55_08_01_11		1
1	12	YOR202W_Y55_08_01_12		1
1	13	YOR202W_Y55_08_01_13		1
1	14	YOR202W_Y55_08_01_14		1
1	15	YOR202W_Y55_08_01_15		1
1	16	YOR202W_Y55_08_01_16		1
1	17	YOR202W_Y55_08_01_17		1
1	18	YOR202W_Y55_08_01_18		1
1	19	YOR202W_Y55_08_01_19		1
1	20	YOR202W_Y55_08_01_20		1
1	21	YOR202W_Y55_08_01_21		1
1	22	YOR202W_Y55_08_01_22		1
1	23	YOR202W_Y55_08_01_23		1
1	24	YOR202W_Y55_08_01_24		1
1	25	YOR202W_Y55_08_01_25		1
1	26	YOR202W_Y55_08_01_26		1
1	27	YOR202W_Y55_08_01_27		1
1	28	YOR202W_Y55_08_01_28		1
1	29	YOR202W_Y55_08_01_29		1
1	30	YOR202W_Y55_08_01_30		1
1	31	YOR202W_Y55_08_01_31		1
1	32	YOR202W_Y55_08_01_32		1
1	33	YOR202W_Y55_08_01_33		1
1	34	YOR202W_Y55_08_01_34		1
1	35	YOR202W_Y55_08_01_35		1
1	36	YOR202W_Y55_08_01_36		1
1	37	YOR202W_Y55_08_01_37		1
1	38	YOR202W_Y55_08_01_38		1
1	39	YOR202W_Y55_08_01_39		1
1	40	YOR202W_Y55_08_01_40		1
1	41	YOR202W_Y55_08_01_41		1
1	42	YOR202W_Y55_08_01_42		1
1	43	YOR202W_Y55_08_01_43		1
1	44	YOR202W_Y55_08_01_44		1
1	45	YOR202W_Y55_08_01_45		1
1	46	YOR202W_Y55_08_01_46		1
1	47	YOR202W_Y55_08_01_47		1
1	48	YOR202W_Y55_08_01_48		1
2	1	YOR202W_Y55_08_02_01		1
2	2	YOR202W_Y55_08_02_02		1
2	3	YOR202W_Y55_08_02_03		1
2	4	YOR202W_Y55_08_02_04		1
2	5	YOR202W_Y55_08_02_05		1
2	6	YOR202W_Y55_08_02_06		1
2	7	YOR202W_Y55_08_02_07		1
2	8	YOR202W_Y55_08_02_08		1
2	9	YOR202W_Y55_08_02_09		1
2	10	YOR202W_Y55_08_02_10		1
2	11	YOR202W_Y55_08_02_11		1
2	12	YOR202W_Y55_08_02_12		1
2	13	YOR202W_Y55_08_02_13		1
2	14	YOR202W_Y55_08_02_14		1
2	15	YOR202W_Y55_08_02_15		1
2	16	YOR202W_Y55_08_02_16		1
2	17	YOR202W_Y55_08_02_17		1
2	18	YOR202W_Y55_08_02_18		1
2	19	YOR202W_Y55_08_02_19		1
2	20	YOR202W_Y55_08_02_20		1
2	21	YOR202W_Y55_08_02_21		1
2	22	YOR202W_Y55_08_02_22		1
2	23	YOR202W_Y55_08_02_23		1
2	24	YOR202W_Y55_08_02_24		1
2	25	YOR202W_Y55_08_02_25		1
2	26	YOR202W_Y55_08_02_26		1
2	27	YOR202W_Y55_08_02_27		1
2	28	YOR202W_Y55_08_02_28		1
2	29	YOR202W_Y55_08_02_29		1
2	30	YOR202W_Y55_08_02_30		1
2	31	YOR202W_Y55_08_02_31		1
2	32	YOR202W_Y55_08_02_32		1
2	33	YOR202W_Y55_08_02_33		1
2	34	YOR202W_Y55_08_02_34		1
2	35	YOR202W_Y55_08_02_35		1
2	36	YOR202W_Y55_08_02_36		1
2	37	YOR202W_Y55_08_02_37		1
2	38	YOR202W_Y55_08_02_38		1
2	39	YOR202W_Y55_08_02_39		1
2	40	YOR202W_Y55_08_02_40		1
2	41	YOR202W_Y55_08_02_41		1
2	42	YOR202W_Y55_08_02_42		1
2	43	YOR202W_Y55_08_02_43		1
2	44	YOR202W_Y55_08_02_44		1
2	45	YOR202W_Y55_08_02_45		1
2	46	YOR202W_Y55_08_02_46		1
2	47	YOR202W_Y55_08_02_47		1
2	48	YOR202W_Y55_08_02_48		1
3	1	YOR202W_Y55_08_03_01		1
3	2	YOR202W_Y55_08_03_02		1
3	3	YLR217W_Y55_08_03_03		1
3	4	YMR044W_Y55_08_03_04		1
3	5	YLR330W_Y55_08_03_05		1
3	6	YMR158C-B_Y55_08_03_06		1
3	7	YLR216C_Y55_08_03_07		1
3	8	YMR042W_Y55_08_03_08		1
3	9	YLR329W_Y55_08_03_09		1
3	10	YMR157C_Y55_08_03_10		1
3	11	YLR214W_Y55_08_03_11		1
3	12	YMR041C_Y55_08_03_12		1
3	13	YLR328W_Y55_08_03_13		1
3	14	YMR156C_Y55_08_03_14		1
3	15	YLR213C_Y55_08_03_15		1
3	16	YMR040W_Y55_08_03_16		1
3	17	YLR327C_Y55_08_03_17		1
3	18	YMR155W_Y55_08_03_18		1
3	19	YLR211C_Y55_08_03_19		1
3	20	YMR039C_Y55_08_03_20		1
3	21	YLR326W_Y55_08_03_21		1
3	22	YMR154C_Y55_08_03_22		1
3	23	YLR210W_Y55_08_03_23		1
3	24	YMR038C_Y55_08_03_24		1
3	25	YLR325C_Y55_08_03_25		1
3	26	YMR153W_Y55_08_03_26		1
3	27	YLR209C_Y55_08_03_27		1
3	28	YMR037C_Y55_08_03_28		1
3	29	YLR324W_Y55_08_03_29		1
3	30	YMR153C-A_Y55_08_03_30		1
3	31	YLR207W_Y55_08_03_31		1
3	32	YMR036C_Y55_08_03_32		1
3	33	YLR320W_Y55_08_03_33		1
3	34	YMR152W_Y55_08_03_34		1
3	35	YLR206W_Y55_08_03_35		1
3	36	YMR035W_Y55_08_03_36		1
3	37	YLR319C_Y55_08_03_37		1
3	38	YMR148W_Y55_08_03_38		1
3	39	YLR205C_Y55_08_03_39		1
