Row	Column	Strain	Info	Normalization_group
1	1	YOL095C_S288C_03_01_01		1
1	2	YLR262C-A_S288C_03_01_02		1
1	3	YMR316C-A_S288C_03_01_03		1
1	4	YJR100C_S288C_03_01_04		1
1	5	YOL096C_S288C_03_01_05		1
1	6	YLR422W_S288C_03_01_06		1
1	7	YMR316C-B_S288C_03_01_07		1
1	8	YJR104C_S288C_03_01_08		1
1	9	YOL098C_S288C_03_01_09		1
1	10	YLR423C_S288C_03_01_10		1
1	11	YMR316W_S288C_03_01_11		1
1	12	YJR106W_S288C_03_01_12		1
1	13	YOL099C_S288C_03_01_13		1
1	14	YLR425W_S288C_03_01_14		1
1	15	YMR317W_S288C_03_01_15		1
1	16	YJR107W_S288C_03_01_16		1
1	17	YOL100W_S288C_03_01_17		1
1	18	YLR426W_S288C_03_01_18		1
1	19	YMR318C_S288C_03_01_19		1
1	20	YJR109C_S288C_03_01_20		1
1	21	YOL101C_S288C_03_01_21		1
1	22	YLR427W_S288C_03_01_22		1
1	23	YMR319C_S288C_03_01_23		1
1	24	YJR113C_S288C_03_01_24		1
1	25	YOL103W_S288C_03_01_25		1
1	26	YLR428C_S288C_03_01_26		1
1	27	YMR320W_S288C_03_01_27		1
1	28	YJR116W_S288C_03_01_28		1
1	29	YOL104C_S288C_03_01_29		1
1	30	YLR429W_S288C_03_01_30		1
1	31	YNL250W_S288C_03_01_31		1
1	32	YJR117W_S288C_03_01_32		1
1	33	YOL105C_S288C_03_01_33		1
1	34	YLR431C_S288C_03_01_34		1
1	35	YNL252C_S288C_03_01_35		1
1	36	YJR118C_S288C_03_01_36		1
1	37	YOL106W_S288C_03_01_37		1
1	38	YLR432W_S288C_03_01_38		1
1	39	YNL279W_S288C_03_01_39		1
1	40	YJR119C_S288C_03_01_40		1
1	41	YOL107W_S288C_03_01_41		1
1	42	YLR433C_S288C_03_01_42		1
1	43	YNL300W_S288C_03_01_43		1
1	44	YJR120W_S288C_03_01_44		1
1	45	YOL108C_S288C_03_01_45		1
1	46	YLR434C_S288C_03_01_46		1
1	47	YNL316C_S288C_03_01_47		1
1	48	YJR121W_S288C_03_01_48		1
2	1	YOR345C_S288C_03_02_01		1
2	2	YBR294W_S288C_03_02_02		1
2	3	YBR014C_S288C_03_02_03		1
2	4	YOR274W_S288C_03_02_04		1
2	5	YOR366W_S288C_03_02_05		1
2	6	YBR301W_S288C_03_02_06		1
2	7	YBR015C_S288C_03_02_07		1
2	8	YOR275C_S288C_03_02_08		1
2	9	YOR379C_S288C_03_02_09		1
2	10	YCL026C-A_S288C_03_02_10		1
2	11	YBR016W_S288C_03_02_11		1
2	12	YOR276W_S288C_03_02_12		1
2	13	YNL001W_S288C_03_02_13		1
2	14	YCR028C-A_S288C_03_02_14		1
2	15	YBR018C_S288C_03_02_15		1
2	16	YOR298C-A_S288C_03_02_16		1
2	17	YNL004W_S288C_03_02_17		1
2	18	YCR030C_S288C_03_02_18		1
2	19	YBR019C_S288C_03_02_19		1
2	20	YOR302W_S288C_03_02_20		1
2	21	YNL005C_S288C_03_02_21		1
2	22	YCR032W_S288C_03_02_22		1
2	23	YBR020W_S288C_03_02_23		1
2	24	YOR303W_S288C_03_02_24		1
2	25	YNL008C_S288C_03_02_25		1
2	26	YCR033W_S288C_03_02_26		1
2	27	YBR021W_S288C_03_02_27		1
