Row	Column	Strain	Info	Normalization_group
1	1	YOR202W_YPS_17_01_01		1
1	2	YOR202W_YPS_17_01_02		1
1	3	YOR202W_YPS_17_01_03		1
1	4	YOR202W_YPS_17_01_04		1
1	5	YOR202W_YPS_17_01_05		1
1	6	YOR202W_YPS_17_01_06		1
1	7	YOR202W_YPS_17_01_07		1
1	8	YOR202W_YPS_17_01_08		1
1	9	YOR202W_YPS_17_01_09		1
1	10	YOR202W_YPS_17_01_10		1
1	11	YOR202W_YPS_17_01_11		1
1	12	YOR202W_YPS_17_01_12		1
1	13	YOR202W_YPS_17_01_13		1
1	14	YOR202W_YPS_17_01_14		1
1	15	YOR202W_YPS_17_01_15		1
1	16	YOR202W_YPS_17_01_16		1
1	17	YOR202W_YPS_17_01_17		1
1	18	YOR202W_YPS_17_01_18		1
1	19	YOR202W_YPS_17_01_19		1
1	20	YOR202W_YPS_17_01_20		1
1	21	YOR202W_YPS_17_01_21		1
1	22	YOR202W_YPS_17_01_22		1
1	23	YOR202W_YPS_17_01_23		1
1	24	YOR202W_YPS_17_01_24		1
1	25	YOR202W_YPS_17_01_25		1
1	26	YOR202W_YPS_17_01_26		1
1	27	YOR202W_YPS_17_01_27		1
1	28	YOR202W_YPS_17_01_28		1
1	29	YOR202W_YPS_17_01_29		1
1	30	YOR202W_YPS_17_01_30		1
1	31	YOR202W_YPS_17_01_31		1
1	32	YOR202W_YPS_17_01_32		1
1	33	YOR202W_YPS_17_01_33		1
1	34	YOR202W_YPS_17_01_34		1
1	35	YOR202W_YPS_17_01_35		1
1	36	YOR202W_YPS_17_01_36		1
1	37	YOR202W_YPS_17_01_37		1
1	38	YOR202W_YPS_17_01_38		1
1	39	YOR202W_YPS_17_01_39		1
1	40	YOR202W_YPS_17_01_40		1
1	41	YOR202W_YPS_17_01_41		1
1	42	YOR202W_YPS_17_01_42		1
1	43	YOR202W_YPS_17_01_43		1
1	44	YOR202W_YPS_17_01_44		1
1	45	YOR202W_YPS_17_01_45		1
1	46	YOR202W_YPS_17_01_46		1
1	47	YOR202W_YPS_17_01_47		1
1	48	YOR202W_YPS_17_01_48		1
2	1	YOR202W_YPS_17_02_01		1
2	2	YOR202W_YPS_17_02_02		1
2	3	YOR202W_YPS_17_02_03		1
2	4	YOR202W_YPS_17_02_04		1
2	5	YOR202W_YPS_17_02_05		1
2	6	YOR202W_YPS_17_02_06		1
2	7	YOR202W_YPS_17_02_07		1
2	8	YOR202W_YPS_17_02_08		1
2	9	YOR202W_YPS_17_02_09		1
2	10	YOR202W_YPS_17_02_10		1
2	11	YOR202W_YPS_17_02_11		1
2	12	YOR202W_YPS_17_02_12		1
2	13	YOR202W_YPS_17_02_13		1
2	14	YOR202W_YPS_17_02_14		1
2	15	YOR202W_YPS_17_02_15		1
2	16	YOR202W_YPS_17_02_16		1
2	17	YOR202W_YPS_17_02_17		1
2	18	YOR202W_YPS_17_02_18		1
2	19	YOR202W_YPS_17_02_19		1
2	20	YOR202W_YPS_17_02_20		1
2	21	YOR202W_YPS_17_02_21		1
2	22	YOR202W_YPS_17_02_22		1
2	23	YOR202W_YPS_17_02_23		1
2	24	YOR202W_YPS_17_02_24		1
2	25	YOR202W_YPS_17_02_25		1
2	26	YOR202W_YPS_17_02_26		1
2	27	YOR202W_YPS_17_02_27		1
2	28	YOR202W_YPS_17_02_28		1
2	29	YOR202W_YPS_17_02_29		1
2	30	YOR202W_YPS_17_02_30		1
2	31	YOR202W_YPS_17_02_31		1
2	32	YOR202W_YPS_17_02_32		1
2	33	YOR202W_YPS_17_02_33		1
2	34	YOR202W_YPS_17_02_34		1
2	35	YOR202W_YPS_17_02_35		1
2	36	YOR202W_YPS_17_02_36		1
2	37	YOR202W_YPS_17_02_37		1
2	38	YOR202W_YPS_17_02_38		1
2	39	YOR202W_YPS_17_02_39		1
2	40	YOR202W_YPS_17_02_40		1
2	41	YOR202W_YPS_17_02_41		1
2	42	YOR202W_YPS_17_02_42		1
2	43	YOR202W_YPS_17_02_43		1
2	44	YOR202W_YPS_17_02_44		1
2	45	YOR202W_YPS_17_02_45		1
2	46	YOR202W_YPS_17_02_46		1
2	47	YOR202W_YPS_17_02_47		1
2	48	YOR202W_YPS_17_02_48		1
3	1	YOR202W_YPS_17_03_01		1
3	2	YOR202W_YPS_17_03_02		1
3	3	YPL060W_YPS_17_03_03		1
3	4	YGL049C_YPS_17_03_04		1
3	5	YPL170W_YPS_17_03_05		1
3	6	YFL013C_YPS_17_03_06		1
3	7	YPL058C_YPS_17_03_07		1
3	8	YGL042C_YPS_17_03_08		1
3	9	YPL168W_YPS_17_03_09		1
3	10	YFL012W_YPS_17_03_10		1
3	11	YPL057C_YPS_17_03_11		1
3	12	YBR078W_YPS_17_03_12		1
3	13	YPL167C_YPS_17_03_13		1
3	14	YFL010W-A_YPS_17_03_14		1
3	15	YPL056C_YPS_17_03_15		1
3	16	YJL177W_YPS_17_03_16		1
3	17	YPL166W_YPS_17_03_17		1
3	18	YFL010C_YPS_17_03_18		1
3	19	YPL055C_YPS_17_03_19		1
3	20	YGR122W_YPS_17_03_20		1
3	21	YPL165C_YPS_17_03_21		1
3	22	YFL007W_YPS_17_03_22		1
3	23	YPL054W_YPS_17_03_23		1
3	24	YGR068C_YPS_17_03_24		1
3	25	YPL164C_YPS_17_03_25		1
3	26	YFL004W_YPS_17_03_26		1
3	27	YPL053C_YPS_17_03_27		1
3	28	YGR067C_YPS_17_03_28		1
3	29	YPL163C_YPS_17_03_29		1
3	30	YFL003C_YPS_17_03_30		1
3	31	YPL052W_YPS_17_03_31		1
3	32	YGR061C_YPS_17_03_32		1
3	33	YPL162C_YPS_17_03_33		1
3	34	YFL001W_YPS_17_03_34		1
3	35	YPL051W_YPS_17_03_35		1
3	36	YGR055W_YPS_17_03_36		1
3	37	YPL161C_YPS_17_03_37		1
3	38	YGR255C_YPS_17_03_38		1
3	39	YPL048W_YPS_17_03_39		1
3	40	YGL071W_YPS_17_03_40		1
3	41	YPL159C_YPS_17_03_41		1
3	42	YGR254W_YPS_17_03_42		1
3	43	YPL047W_YPS_17_03_43		1
3	44	YGL063W_YPS_17_03_44		1
3	45	YPL157W_YPS_17_03_45		1
3	46	YGR122C-A_YPS_17_03_46		1
3	47	YOR202W_YPS_17_03_47		1
3	48	YOR202W_YPS_17_03_48		1
4	1	YOR202W_YPS_17_04_01		1
4	2	YOR202W_YPS_17_04_02		1
4	3	YBR030W_YPS_17_04_03		1
4	4	YCR076C_YPS_17_04_04		1
4	5	YBR138C_YPS_17_04_05		1
4	6	YDL090C_YPS_17_04_06		1
4	7	YBR028C_YPS_17_04_07		1
4	8	YCR075C_YPS_17_04_08		1
4	9	YBR137W_YPS_17_04_09		1
