Row	Column	Strain	Info	Normalization_group
1	1	YOR202W_YPS_16_01_01		1
1	2	YOR202W_YPS_16_01_02		1
1	3	YOR202W_YPS_16_01_03		1
1	4	YOR202W_YPS_16_01_04		1
1	5	YOR202W_YPS_16_01_05		1
1	6	YOR202W_YPS_16_01_06		1
1	7	YOR202W_YPS_16_01_07		1
1	8	YOR202W_YPS_16_01_08		1
1	9	YOR202W_YPS_16_01_09		1
1	10	YOR202W_YPS_16_01_10		1
1	11	YOR202W_YPS_16_01_11		1
1	12	YOR202W_YPS_16_01_12		1
1	13	YOR202W_YPS_16_01_13		1
1	14	YOR202W_YPS_16_01_14		1
1	15	YOR202W_YPS_16_01_15		1
1	16	YOR202W_YPS_16_01_16		1
1	17	YOR202W_YPS_16_01_17		1
1	18	YOR202W_YPS_16_01_18		1
1	19	YOR202W_YPS_16_01_19		1
1	20	YOR202W_YPS_16_01_20		1
1	21	YOR202W_YPS_16_01_21		1
1	22	YOR202W_YPS_16_01_22		1
1	23	YOR202W_YPS_16_01_23		1
1	24	YOR202W_YPS_16_01_24		1
1	25	YOR202W_YPS_16_01_25		1
1	26	YOR202W_YPS_16_01_26		1
1	27	YOR202W_YPS_16_01_27		1
1	28	YOR202W_YPS_16_01_28		1
1	29	YOR202W_YPS_16_01_29		1
1	30	YOR202W_YPS_16_01_30		1
1	31	YOR202W_YPS_16_01_31		1
1	32	YOR202W_YPS_16_01_32		1
1	33	YOR202W_YPS_16_01_33		1
1	34	YOR202W_YPS_16_01_34		1
1	35	YOR202W_YPS_16_01_35		1
1	36	YOR202W_YPS_16_01_36		1
1	37	YOR202W_YPS_16_01_37		1
1	38	YOR202W_YPS_16_01_38		1
1	39	YOR202W_YPS_16_01_39		1
1	40	YOR202W_YPS_16_01_40		1
1	41	YOR202W_YPS_16_01_41		1
1	42	YOR202W_YPS_16_01_42		1
1	43	YOR202W_YPS_16_01_43		1
1	44	YOR202W_YPS_16_01_44		1
1	45	YOR202W_YPS_16_01_45		1
1	46	YOR202W_YPS_16_01_46		1
1	47	YOR202W_YPS_16_01_47		1
1	48	YOR202W_YPS_16_01_48		1
2	1	YOR202W_YPS_16_02_01		1
2	2	YOR202W_YPS_16_02_02		1
2	3	YOR202W_YPS_16_02_03		1
2	4	YOR202W_YPS_16_02_04		1
2	5	YOR202W_YPS_16_02_05		1
2	6	YOR202W_YPS_16_02_06		1
2	7	YOR202W_YPS_16_02_07		1
2	8	YOR202W_YPS_16_02_08		1
2	9	YOR202W_YPS_16_02_09		1
2	10	YOR202W_YPS_16_02_10		1
2	11	YOR202W_YPS_16_02_11		1
2	12	YOR202W_YPS_16_02_12		1
2	13	YOR202W_YPS_16_02_13		1
2	14	YOR202W_YPS_16_02_14		1
2	15	YOR202W_YPS_16_02_15		1
2	16	YOR202W_YPS_16_02_16		1
2	17	YOR202W_YPS_16_02_17		1
2	18	YOR202W_YPS_16_02_18		1
2	19	YOR202W_YPS_16_02_19		1
2	20	YOR202W_YPS_16_02_20		1
2	21	YOR202W_YPS_16_02_21		1
2	22	YOR202W_YPS_16_02_22		1
2	23	YOR202W_YPS_16_02_23		1
2	24	YOR202W_YPS_16_02_24		1
2	25	YOR202W_YPS_16_02_25		1
2	26	YOR202W_YPS_16_02_26		1
2	27	YOR202W_YPS_16_02_27		1
2	28	YOR202W_YPS_16_02_28		1
2	29	YOR202W_YPS_16_02_29		1
2	30	YOR202W_YPS_16_02_30		1
2	31	YOR202W_YPS_16_02_31		1
2	32	YOR202W_YPS_16_02_32		1
2	33	YOR202W_YPS_16_02_33		1
2	34	YOR202W_YPS_16_02_34		1
2	35	YOR202W_YPS_16_02_35		1
2	36	YOR202W_YPS_16_02_36		1
2	37	YOR202W_YPS_16_02_37		1
2	38	YOR202W_YPS_16_02_38		1
2	39	YOR202W_YPS_16_02_39		1
2	40	YOR202W_YPS_16_02_40		1
2	41	YOR202W_YPS_16_02_41		1
2	42	YOR202W_YPS_16_02_42		1
2	43	YOR202W_YPS_16_02_43		1
2	44	YOR202W_YPS_16_02_44		1
2	45	YOR202W_YPS_16_02_45		1
2	46	YOR202W_YPS_16_02_46		1
2	47	YOR202W_YPS_16_02_47		1
2	48	YOR202W_YPS_16_02_48		1
3	1	YOR202W_YPS_16_03_01		1
3	2	YOR202W_YPS_16_03_02		1
3	3	YLR217W_YPS_16_03_03		1
3	4	YMR044W_YPS_16_03_04		1
3	5	YLR330W_YPS_16_03_05		1
3	6	YMR158C-B_YPS_16_03_06		1
3	7	YLR216C_YPS_16_03_07		1
3	8	YMR042W_YPS_16_03_08		1
3	9	YLR329W_YPS_16_03_09		1
3	10	YMR157C_YPS_16_03_10		1
3	11	YLR214W_YPS_16_03_11		1
3	12	YMR041C_YPS_16_03_12		1
3	13	YLR328W_YPS_16_03_13		1
3	14	YMR156C_YPS_16_03_14		1
3	15	YLR213C_YPS_16_03_15		1
3	16	YMR040W_YPS_16_03_16		1
3	17	YLR327C_YPS_16_03_17		1
3	18	YMR155W_YPS_16_03_18		1
3	19	YLR211C_YPS_16_03_19		1
3	20	YMR039C_YPS_16_03_20		1
3	21	YLR326W_YPS_16_03_21		1
3	22	YMR154C_YPS_16_03_22		1
3	23	YLR210W_YPS_16_03_23		1
3	24	YMR038C_YPS_16_03_24		1
3	25	YLR325C_YPS_16_03_25		1
3	26	YMR153W_YPS_16_03_26		1
3	27	YLR209C_YPS_16_03_27		1
3	28	YMR037C_YPS_16_03_28		1
3	29	YLR324W_YPS_16_03_29		1
3	30	YMR153C-A_YPS_16_03_30		1
3	31	YLR207W_YPS_16_03_31		1
3	32	YMR036C_YPS_16_03_32		1
3	33	YLR320W_YPS_16_03_33		1
3	34	YMR152W_YPS_16_03_34		1
3	35	YLR206W_YPS_16_03_35		1
3	36	YMR035W_YPS_16_03_36		1
3	37	YLR319C_YPS_16_03_37		1
3	38	YMR148W_YPS_16_03_38		1
3	39	YLR205C_YPS_16_03_39		1
3	40	YMR034C_YPS_16_03_40		1
3	41	YLR318W_YPS_16_03_41		1
3	42	YMR147W_YPS_16_03_42		1
3	43	YLR200W_YPS_16_03_43		1
3	44	YMR031W-A_YPS_16_03_44		1
3	45	YLR315W_YPS_16_03_45		1
3	46	YMR145C_YPS_16_03_46		1
3	47	YOR202W_YPS_16_03_47		1
3	48	YOR202W_YPS_16_03_48		1
4	1	YOR202W_YPS_16_04_01		1
4	2	YOR202W_YPS_16_04_02		1
4	3	YNL146W_YPS_16_04_03		1
4	4	YOR006C_YPS_16_04_04		1
4	5	YNL274C_YPS_16_04_05		1
4	6	YOR097C_YPS_16_04_06		1
4	7	YNL145W_YPS_16_04_07		1
4	8	YOR005C_YPS_16_04_08		1
4	9	YNL273W_YPS_16_04_09		1
4	10	YOR094W_YPS_16_04_10		1
4	11	YNL144C_YPS_16_04_11		1
4	12	YOR003W_YPS_16_04_12		1
4	13	YNL271C_YPS_16_04_13		1
4	14	YOR093C_YPS_16_04_14		1
4	15	YNL143C_YPS_16_04_15		1
4	16	YOR002W_YPS_16_04_16		1
4	17	YNL270C_YPS_16_04_17		1
4	18	YOR092W_YPS_16_04_18		1
4	19	YNL142W_YPS_16_04_19		1
4	20	YOR001W_YPS_16_04_20		1
4	21	YNL268W_YPS_16_04_21		1
4	22	YOR091W_YPS_16_04_22		1
4	23	YNL141W_YPS_16_04_23		1
4	24	YOL163W_YPS_16_04_24		1
4	25	YNL266W_YPS_16_04_25		1
4	26	YOR090C_YPS_16_04_26		1
4	27	YNL140C_YPS_16_04_27		1
4	28	YOL162W_YPS_16_04_28		1
4	29	YNL265C_YPS_16_04_29		1
4	30	YOR089C_YPS_16_04_30		1
4	31	YNL136W_YPS_16_04_31		1
4	32	YOL160W_YPS_16_04_32		1
4	33	YNL259C_YPS_16_04_33		1
4	34	YOR088W_YPS_16_04_34		1
4	35	YNL135C_YPS_16_04_35		1
4	36	YOL159C_YPS_16_04_36		1
4	37	YNL257C_YPS_16_04_37		1
4	38	YOR087W_YPS_16_04_38		1
4	39	YNL134C_YPS_16_04_39		1
4	40	YOL158C_YPS_16_04_40		1
4	41	YNL255C_YPS_16_04_41		1
4	42	YOR086C_YPS_16_04_42		1
4	43	YNL130C_YPS_16_04_43		1
4	44	YOL155C_YPS_16_04_44		1
4	45	YNL254C_YPS_16_04_45		1
4	46	YOR085W_YPS_16_04_46		1
4	47	YOR202W_YPS_16_04_47		1
4	48	YOR202W_YPS_16_04_48		1
5	1	YOR202W_YPS_16_05_01		1
5	2	YOR202W_YPS_16_05_02		1
5	3	YLL057C_YPS_16_05_03		1
5	4	YLR428C_YPS_16_05_04		1
5	5	YLR098C_YPS_16_05_05		1
5	6	YML062C_YPS_16_05_06		1
5	7	YLL056C_YPS_16_05_07		1
5	8	YLR427W_YPS_16_05_08		1
5	9	YLR097C_YPS_16_05_09		1
5	10	YML060W_YPS_16_05_10		1
5	11	YLL055W_YPS_16_05_11		1
5	12	YLR426W_YPS_16_05_12		1
5	13	YLR096W_YPS_16_05_13		1
5	14	YML059C_YPS_16_05_14		1
5	15	YLL054C_YPS_16_05_15		1
5	16	YLR425W_YPS_16_05_16		1
5	17	YLR095C_YPS_16_05_17		1
5	18	YML058W_YPS_16_05_18		1
5	19	YLL053C_YPS_16_05_19		1
5	20	YLR423C_YPS_16_05_20		1
5	21	YLR094C_YPS_16_05_21		1
5	22	YML058C-A_YPS_16_05_22		1
5	23	YLL052C_YPS_16_05_23		1
5	24	YLR422W_YPS_16_05_24		1
5	25	YLR093C_YPS_16_05_25		1
5	26	YML057W_YPS_16_05_26		1
5	27	YLL051C_YPS_16_05_27		1
5	28	YLR421C_YPS_16_05_28		1
5	29	YLR092W_YPS_16_05_29		1
5	30	YML056C_YPS_16_05_30		1
5	31	YLL049W_YPS_16_05_31		1
5	32	YLR420W_YPS_16_05_32		1
5	33	YLR091W_YPS_16_05_33		1
5	34	YML055W_YPS_16_05_34		1
5	35	YLL048C_YPS_16_05_35		1
5	36	YLR418C_YPS_16_05_36		1
5	37	YLR090W_YPS_16_05_37		1
5	38	YML054C_YPS_16_05_38		1
5	39	YLL047W_YPS_16_05_39		1
5	40	YLR416C_YPS_16_05_40		1
5	41	YLR089C_YPS_16_05_41		1
5	42	YML053C_YPS_16_05_42		1
5	43	YLL046C_YPS_16_05_43		1
5	44	YLR415C_YPS_16_05_44		1
5	45	YLR087C_YPS_16_05_45		1
5	46	YML052W_YPS_16_05_46		1
5	47	YOR202W_YPS_16_05_47		1
5	48	YOR202W_YPS_16_05_48		1
6	1	YOR202W_YPS_16_06_01		1
6	2	YOR202W_YPS_16_06_02		1
6	3	YMR255W_YPS_16_06_03		1
6	4	YNR031C_YPS_16_06_04		1
6	5	YNL035C_YPS_16_06_05		1
6	6	YOL055C_YPS_16_06_06		1
6	7	YMR254C_YPS_16_06_07		1
6	8	YNR030W_YPS_16_06_08		1
6	9	YNL034W_YPS_16_06_09		1
6	10	YOL054W_YPS_16_06_10		1
6	11	YMR253C_YPS_16_06_11		1
6	12	YNR029C_YPS_16_06_12		1
6	13	YNL032W_YPS_16_06_13		1
6	14	YOL053W_YPS_16_06_14		1
6	15	YMR252C_YPS_16_06_15		1
6	16	YNR028W_YPS_16_06_16		1
6	17	YNL031C_YPS_16_06_17		1
6	18	YOL053C-A_YPS_16_06_18		1
6	19	YMR251W-A_YPS_16_06_19		1
6	20	YNR027W_YPS_16_06_20		1
6	21	YNL030W_YPS_16_06_21		1
6	22	YOL052C_YPS_16_06_22		1
6	23	YMR251W_YPS_16_06_23		1
6	24	YNR025C_YPS_16_06_24		1
6	25	YNL029C_YPS_16_06_25		1
6	26	YOL050C_YPS_16_06_26		1
6	27	YMR250W_YPS_16_06_27		1
6	28	YNR024W_YPS_16_06_28		1
6	29	YNL028W_YPS_16_06_29		1
6	30	YOL049W_YPS_16_06_30		1
6	31	YMR247C_YPS_16_06_31		1
6	32	YNR022C_YPS_16_06_32		1
6	33	YNL027W_YPS_16_06_33		1
6	34	YOL048C_YPS_16_06_34		1
6	35	YMR246W_YPS_16_06_35		1
6	36	YNR021W_YPS_16_06_36		1
6	37	YNL024C_YPS_16_06_37		1
6	38	YOL047C_YPS_16_06_38		1
6	39	YMR245W_YPS_16_06_39		1
6	40	YNR020C_YPS_16_06_40		1
6	41	YNL023C_YPS_16_06_41		1
6	42	YOL046C_YPS_16_06_42		1
6	43	YMR244W_YPS_16_06_43		1
6	44	YNR019W_YPS_16_06_44		1
6	45	YNL022C_YPS_16_06_45		1
6	46	YOL045W_YPS_16_06_46		1
6	47	YOR202W_YPS_16_06_47		1
6	48	YOR202W_YPS_16_06_48		1
7	1	YOR202W_YPS_16_07_01		1
7	2	YOR202W_YPS_16_07_02		1
7	3	YLR234W_YPS_16_07_03		1
7	4	YMR063W_YPS_16_07_04		1
7	5	YLR345W_YPS_16_07_05		1
7	6	YMR170C_YPS_16_07_06		1
7	7	YLR233C_YPS_16_07_07		1
7	8	YMR060C_YPS_16_07_08		1
7	9	YLR344W_YPS_16_07_09		1
7	10	YMR169c_YPS_16_07_10		1
7	11	YLR232W_YPS_16_07_11		1
7	12	YMR058W_YPS_16_07_12		1
7	13	YLR343W_YPS_16_07_13		1
7	14	YMR167W_YPS_16_07_14		1
7	15	YLR231C_YPS_16_07_15		1
7	16	YMR057C_YPS_16_07_16		1
7	17	YLR342W_YPS_16_07_17		1
7	18	YMR166C_YPS_16_07_18		1
7	19	YLR228C_YPS_16_07_19		1
7	20	YMR056C_YPS_16_07_20		1
7	21	YLR341W_YPS_16_07_21		1
7	22	YMR164C_YPS_16_07_22		1
7	23	YLR225C_YPS_16_07_23		1
7	24	YMR055C_YPS_16_07_24		1
7	25	YLR338W_YPS_16_07_25		1
7	26	YMR163C_YPS_16_07_26		1
7	27	YLR224W_YPS_16_07_27		1
7	28	YMR054W_YPS_16_07_28		1
7	29	YLR337C_YPS_16_07_29		1
7	30	YMR162C_YPS_16_07_30		1
7	31	YLR221C_YPS_16_07_31		1
7	32	YMR053C_YPS_16_07_32		1
7	33	YLR335W_YPS_16_07_33		1
7	34	YMR161W_YPS_16_07_34		1
7	35	YLR220W_YPS_16_07_35		1
7	36	YMR052W_YPS_16_07_36		1
7	37	YLR334C_YPS_16_07_37		1
7	38	YMR160W_YPS_16_07_38		1
7	39	YLR219W_YPS_16_07_39		1
7	40	YMR052C-A_YPS_16_07_40		1
7	41	YLR333C_YPS_16_07_41		1
7	42	YMR159C_YPS_16_07_42		1
7	43	YLR218C_YPS_16_07_43		1
7	44	YMR048W_YPS_16_07_44		1
7	45	YLR332W_YPS_16_07_45		1
7	46	YMR158W-A_YPS_16_07_46		1
7	47	YOR202W_YPS_16_07_47		1
7	48	YOR202W_YPS_16_07_48		1
8	1	YOR202W_YPS_16_08_01		1
8	2	YOR202W_YPS_16_08_02		1
8	3	YNL167C_YPS_16_08_03		1
8	4	YOR016C_YPS_16_08_04		1
8	5	YNL289W_YPS_16_08_05		1
8	6	YOR112W_YPS_16_08_06		1
8	7	YNL166C_YPS_16_08_07		1
8	8	YOR015W_YPS_16_08_08		1
8	9	YNL288W_YPS_16_08_09		1
8	10	YOR111W_YPS_16_08_10		1
8	11	YNL165W_YPS_16_08_11		1
8	12	YOR014W_YPS_16_08_12		1
8	13	YNL286W_YPS_16_08_13		1
8	14	YOR109W_YPS_16_08_14		1
8	15	YNL164C_YPS_16_08_15		1
8	16	YOR013W_YPS_16_08_16		1
8	17	YNL285W_YPS_16_08_17		1
8	18	YOR108W_YPS_16_08_18		1
8	19	YNL162W_YPS_16_08_19		1
8	20	YOR012W_YPS_16_08_20		1
8	21	YNL283C_YPS_16_08_21		1
8	22	YOR107W_YPS_16_08_22		1
8	23	YNL159C_YPS_16_08_23		1
8	24	YOR011W_YPS_16_08_24		1
8	25	YNL281W_YPS_16_08_25		1
8	26	YOR106W_YPS_16_08_26		1
8	27	YNL157W_YPS_16_08_27		1
8	28	YOR010C_YPS_16_08_28		1
8	29	YNL280C_YPS_16_08_29		1
8	30	YOR105W_YPS_16_08_30		1
8	31	YNL156C_YPS_16_08_31		1
8	32	YOR009W_YPS_16_08_32		1
