Row	Column	Strain	Info	Normalization_group
1	1	YOR202W_UWOP_11_01_01		1
1	2	YOR202W_UWOP_11_01_02		1
1	3	YOR202W_UWOP_11_01_03		1
1	4	YOR202W_UWOP_11_01_04		1
1	5	YOR202W_UWOP_11_01_05		1
1	6	YOR202W_UWOP_11_01_06		1
1	7	YOR202W_UWOP_11_01_07		1
1	8	YOR202W_UWOP_11_01_08		1
1	9	YOR202W_UWOP_11_01_09		1
1	10	YOR202W_UWOP_11_01_10		1
1	11	YOR202W_UWOP_11_01_11		1
1	12	YOR202W_UWOP_11_01_12		1
1	13	YOR202W_UWOP_11_01_13		1
1	14	YOR202W_UWOP_11_01_14		1
1	15	YOR202W_UWOP_11_01_15		1
1	16	YOR202W_UWOP_11_01_16		1
1	17	YOR202W_UWOP_11_01_17		1
1	18	YOR202W_UWOP_11_01_18		1
1	19	YOR202W_UWOP_11_01_19		1
1	20	YOR202W_UWOP_11_01_20		1
1	21	YOR202W_UWOP_11_01_21		1
1	22	YOR202W_UWOP_11_01_22		1
1	23	YOR202W_UWOP_11_01_23		1
1	24	YOR202W_UWOP_11_01_24		1
1	25	YOR202W_UWOP_11_01_25		1
1	26	YOR202W_UWOP_11_01_26		1
1	27	YOR202W_UWOP_11_01_27		1
1	28	YOR202W_UWOP_11_01_28		1
1	29	YOR202W_UWOP_11_01_29		1
1	30	YOR202W_UWOP_11_01_30		1
1	31	YOR202W_UWOP_11_01_31		1
1	32	YOR202W_UWOP_11_01_32		1
1	33	YOR202W_UWOP_11_01_33		1
1	34	YOR202W_UWOP_11_01_34		1
1	35	YOR202W_UWOP_11_01_35		1
1	36	YOR202W_UWOP_11_01_36		1
1	37	YOR202W_UWOP_11_01_37		1
1	38	YOR202W_UWOP_11_01_38		1
1	39	YOR202W_UWOP_11_01_39		1
1	40	YOR202W_UWOP_11_01_40		1
1	41	YOR202W_UWOP_11_01_41		1
1	42	YOR202W_UWOP_11_01_42		1
1	43	YOR202W_UWOP_11_01_43		1
1	44	YOR202W_UWOP_11_01_44		1
1	45	YOR202W_UWOP_11_01_45		1
1	46	YOR202W_UWOP_11_01_46		1
1	47	YOR202W_UWOP_11_01_47		1
1	48	YOR202W_UWOP_11_01_48		1
2	1	YOR202W_UWOP_11_02_01		1
2	2	YOR202W_UWOP_11_02_02		1
2	3	YOR202W_UWOP_11_02_03		1
2	4	YOR202W_UWOP_11_02_04		1
2	5	YOR202W_UWOP_11_02_05		1
2	6	YOR202W_UWOP_11_02_06		1
2	7	YOR202W_UWOP_11_02_07		1
2	8	YOR202W_UWOP_11_02_08		1
2	9	YOR202W_UWOP_11_02_09		1
2	10	YOR202W_UWOP_11_02_10		1
2	11	YOR202W_UWOP_11_02_11		1
2	12	YOR202W_UWOP_11_02_12		1
2	13	YOR202W_UWOP_11_02_13		1
2	14	YOR202W_UWOP_11_02_14		1
2	15	YOR202W_UWOP_11_02_15		1
2	16	YOR202W_UWOP_11_02_16		1
2	17	YOR202W_UWOP_11_02_17		1
2	18	YOR202W_UWOP_11_02_18		1
2	19	YOR202W_UWOP_11_02_19		1
2	20	YOR202W_UWOP_11_02_20		1
2	21	YOR202W_UWOP_11_02_21		1
2	22	YOR202W_UWOP_11_02_22		1
2	23	YOR202W_UWOP_11_02_23		1
2	24	YOR202W_UWOP_11_02_24		1
2	25	YOR202W_UWOP_11_02_25		1
2	26	YOR202W_UWOP_11_02_26		1
2	27	YOR202W_UWOP_11_02_27		1
2	28	YOR202W_UWOP_11_02_28		1
2	29	YOR202W_UWOP_11_02_29		1
2	30	YOR202W_UWOP_11_02_30		1
2	31	YOR202W_UWOP_11_02_31		1
2	32	YOR202W_UWOP_11_02_32		1
2	33	YOR202W_UWOP_11_02_33		1
2	34	YOR202W_UWOP_11_02_34		1
2	35	YOR202W_UWOP_11_02_35		1
2	36	YOR202W_UWOP_11_02_36		1
2	37	YOR202W_UWOP_11_02_37		1
2	38	YOR202W_UWOP_11_02_38		1
2	39	YOR202W_UWOP_11_02_39		1
2	40	YOR202W_UWOP_11_02_40		1
2	41	YOR202W_UWOP_11_02_41		1
2	42	YOR202W_UWOP_11_02_42		1
2	43	YOR202W_UWOP_11_02_43		1
2	44	YOR202W_UWOP_11_02_44		1
2	45	YOR202W_UWOP_11_02_45		1
2	46	YOR202W_UWOP_11_02_46		1
2	47	YOR202W_UWOP_11_02_47		1
2	48	YOR202W_UWOP_11_02_48		1
3	1	YOR202W_UWOP_11_03_01		1
3	2	YOR202W_UWOP_11_03_02		1
3	3	YGL215W_UWOP_11_03_03		1
3	4	YHR066W_UWOP_11_03_04		1
3	5	YGR051C_UWOP_11_03_05		1
3	6	YHR181W_UWOP_11_03_06		1
3	7	YGL214W_UWOP_11_03_07		1
3	8	YHR061C_UWOP_11_03_08		1
3	9	YGR050C_UWOP_11_03_09		1
3	10	YHR180W_UWOP_11_03_10		1
3	11	YGL213C_UWOP_11_03_11		1
3	12	YHR059W_UWOP_11_03_12		1
3	13	YGR049W_UWOP_11_03_13		1
3	14	YHR179W_UWOP_11_03_14		1
3	15	YGL212W_UWOP_11_03_15		1
3	16	YHR057C_UWOP_11_03_16		1
3	17	YGR045C_UWOP_11_03_17		1
3	18	YHR178W_UWOP_11_03_18		1
3	19	YGL211W_UWOP_11_03_19		1
3	20	YHR050W_UWOP_11_03_20		1
3	21	YGR044C_UWOP_11_03_21		1
3	22	YHR176W_UWOP_11_03_22		1
3	23	YGL210W_UWOP_11_03_23		1
3	24	YHR049W_UWOP_11_03_24		1
3	25	YGR043C_UWOP_11_03_25		1
3	26	YHR171W_UWOP_11_03_26		1
3	27	YGL209W_UWOP_11_03_27		1
3	28	YHR049C-A_UWOP_11_03_28		1
3	29	YGR042W_UWOP_11_03_29		1
3	30	YHR167W_UWOP_11_03_30		1
3	31	YGL208W_UWOP_11_03_31		1
3	32	YHR048W_UWOP_11_03_32		1
3	33	YGR041W_UWOP_11_03_33		1
3	34	YHR163W_UWOP_11_03_34		1
3	35	YGL205W_UWOP_11_03_35		1
3	36	YHR047C_UWOP_11_03_36		1
3	37	YGR040W_UWOP_11_03_37		1
3	38	YHR162W_UWOP_11_03_38		1
3	39	YGL203C_UWOP_11_03_39		1
3	40	YHR046C_UWOP_11_03_40		1
3	41	YGR039W_UWOP_11_03_41		1
3	42	YHR161C_UWOP_11_03_42		1
3	43	YGL202W_UWOP_11_03_43		1
3	44	YHR045W_UWOP_11_03_44		1
3	45	YGR038W_UWOP_11_03_45		1
3	46	YHR160C_UWOP_11_03_46		1
3	47	YOR202W_UWOP_11_03_47		1
3	48	YOR202W_UWOP_11_03_48		1
4	1	YOR202W_UWOP_11_04_01		1
4	2	YOR202W_UWOP_11_04_02		1
4	3	YJL110C_UWOP_11_04_03		1
4	4	YKL187C_UWOP_11_04_04		1
4	5	YJL215C_UWOP_11_04_05		1
4	6	YKR059W_UWOP_11_04_06		1
4	7	YJL108C_UWOP_11_04_07		1
4	8	YKL185W_UWOP_11_04_08		1
4	9	YJL214W_UWOP_11_04_09		1
4	10	YKR058W_UWOP_11_04_10		1
4	11	YJL105W_UWOP_11_04_11		1
4	12	YKL184W_UWOP_11_04_12		1
4	13	YJL213W_UWOP_11_04_13		1
4	14	YKR057W_UWOP_11_04_14		1
4	15	YJL101C_UWOP_11_04_15		1
4	16	YKL183W_UWOP_11_04_16		1
4	17	YJL212C_UWOP_11_04_17		1
4	18	YKR056W_UWOP_11_04_18		1
4	19	YJL100W_UWOP_11_04_19		1
4	20	YKL179C_UWOP_11_04_20		1
4	21	YJL211C_UWOP_11_04_21		1
4	22	YKR055W_UWOP_11_04_22		1
4	23	YJL099W_UWOP_11_04_23		1
4	24	YKL178C_UWOP_11_04_24		1
4	25	YJL210W_UWOP_11_04_25		1
4	26	YKR054C_UWOP_11_04_26		1
4	27	YJL098W_UWOP_11_04_27		1
4	28	YKL177W_UWOP_11_04_28		1
4	29	YJL208C_UWOP_11_04_29		1
4	30	YKR053C_UWOP_11_04_30		1
4	31	YJL095W_UWOP_11_04_31		1
4	32	YKL176C_UWOP_11_04_32		1
4	33	YJL207C_UWOP_11_04_33		1
4	34	YKR052C_UWOP_11_04_34		1
4	35	YJL094C_UWOP_11_04_35		1
4	36	YKL175W_UWOP_11_04_36		1
4	37	YJL206C-A_UWOP_11_04_37		1
4	38	YKR051W_UWOP_11_04_38		1
4	39	YJL093C_UWOP_11_04_39		1
4	40	YKL174C_UWOP_11_04_40		1
4	41	YJL206C_UWOP_11_04_41		1
4	42	YKR050W_UWOP_11_04_42		1
4	43	YJL089W_UWOP_11_04_43		1
4	44	YKL171W_UWOP_11_04_44		1
4	45	YJL204C_UWOP_11_04_45		1
4	46	YKR049C_UWOP_11_04_46		1
4	47	YOR202W_UWOP_11_04_47		1
4	48	YOR202W_UWOP_11_04_48		1
5	1	YOR202W_UWOP_11_05_01		1
5	2	YOR202W_UWOP_11_05_02		1
5	3	YFR022W_UWOP_11_05_03		1
5	4	YGR178C_UWOP_11_05_04		1
5	5	YGL083W_UWOP_11_05_05		1
5	6	YHL006C_UWOP_11_05_06		1
5	7	YFR021W_UWOP_11_05_07		1
5	8	YGR177C_UWOP_11_05_08		1
5	9	YGL082W_UWOP_11_05_09		1
5	10	YHL005C_UWOP_11_05_10		1
5	11	YFR020W_UWOP_11_05_11		1
5	12	YGR176W_UWOP_11_05_12		1
5	13	YGL081W_UWOP_11_05_13		1
5	14	YHL003C_UWOP_11_05_14		1
5	15	YFR019W_UWOP_11_05_15		1
5	16	YGR174C_UWOP_11_05_16		1
5	17	YGL080W_UWOP_11_05_17		1
5	18	YHL002W_UWOP_11_05_18		1
5	19	YFR018C_UWOP_11_05_19		1
5	20	YGR173W_UWOP_11_05_20		1
5	21	YGL079W_UWOP_11_05_21		1
5	22	YGR295C_UWOP_11_05_22		1
5	23	YFR017C_UWOP_11_05_23		1
5	24	YGR170W_UWOP_11_05_24		1
5	25	YGL078C_UWOP_11_05_25		1
5	26	YGR290W_UWOP_11_05_26		1
5	27	YFR016C_UWOP_11_05_27		1
5	28	YGR169C_UWOP_11_05_28		1
5	29	YGL077C_UWOP_11_05_29		1
5	30	YGR288W_UWOP_11_05_30		1
5	31	YFR015C_UWOP_11_05_31		1
5	32	YGR168C_UWOP_11_05_32		1
5	33	YGL067W_UWOP_11_05_33		1
5	34	YGR287C_UWOP_11_05_34		1
5	35	YFR014C_UWOP_11_05_35		1
5	36	YGR166W_UWOP_11_05_36		1
5	37	YGL066W_UWOP_11_05_37		1
5	38	YGR286C_UWOP_11_05_38		1
5	39	YFR013W_UWOP_11_05_39		1
5	40	YGR164W_UWOP_11_05_40		1
5	41	YGL062W_UWOP_11_05_41		1
5	42	YGR284C_UWOP_11_05_42		1
5	43	YFR012W_UWOP_11_05_43		1
5	44	YGR163W_UWOP_11_05_44		1
5	45	YGL060W_UWOP_11_05_45		1
5	46	YGR283C_UWOP_11_05_46		1
5	47	YOR202W_UWOP_11_05_47		1
5	48	YOR202W_UWOP_11_05_48		1
6	1	YOR202W_UWOP_11_06_01		1
6	2	YOR202W_UWOP_11_06_02		1
6	3	YIL076W_UWOP_11_06_03		1
6	4	YJR117W_UWOP_11_06_04		1
6	5	YIR020C_UWOP_11_06_05		1
6	6	YKL073W_UWOP_11_06_06		1
6	7	YIL074C_UWOP_11_06_07		1
6	8	YJR116W_UWOP_11_06_08		1
6	9	YIR019C_UWOP_11_06_09		1
6	10	YKL072W_UWOP_11_06_10		1
6	11	YIL073C_UWOP_11_06_11		1
6	12	YJR115W_UWOP_11_06_12		1
6	13	YIR018W_UWOP_11_06_13		1
6	14	YKL071W_UWOP_11_06_14		1
6	15	YIL072W_UWOP_11_06_15		1
6	16	YJR111C_UWOP_11_06_16		1
6	17	YIR017C_UWOP_11_06_17		1
6	18	YKL070W_UWOP_11_06_18		1
6	19	YIL071C_UWOP_11_06_19		1
6	20	YJR110W_UWOP_11_06_20		1
6	21	YIR016W_UWOP_11_06_21		1
6	22	YKL069W_UWOP_11_06_22		1
6	23	YIL070C_UWOP_11_06_23		1
6	24	YJR109C_UWOP_11_06_24		1
6	25	YIR014W_UWOP_11_06_25		1
6	26	YKL068W_UWOP_11_06_26		1
6	27	YIL067C_UWOP_11_06_27		1
6	28	YJR108W_UWOP_11_06_28		1
6	29	YIR013C_UWOP_11_06_29		1
6	30	YKL067W_UWOP_11_06_30		1
6	31	YIL066C_UWOP_11_06_31		1
6	32	YJR107W_UWOP_11_06_32		1
6	33	YIR009W_UWOP_11_06_33		1
6	34	YKL066W_UWOP_11_06_34		1
6	35	YIL065C_UWOP_11_06_35		1
6	36	YJR106W_UWOP_11_06_36		1
6	37	YIR007W_UWOP_11_06_37		1
6	38	YKL065C_UWOP_11_06_38		1
6	39	YIL064W_UWOP_11_06_39		1
6	40	YJR103W_UWOP_11_06_40		1
6	41	YIR005W_UWOP_11_06_41		1
6	42	YKL064W_UWOP_11_06_42		1
6	43	YIL060W_UWOP_11_06_43		1
6	44	YJR100C_UWOP_11_06_44		1
6	45	YIR003W_UWOP_11_06_45		1
6	46	YKL063C_UWOP_11_06_46		1
6	47	YOR202W_UWOP_11_06_47		1
6	48	YOR202W_UWOP_11_06_48		1
7	1	YOR202W_UWOP_11_07_01		1
7	2	YOR202W_UWOP_11_07_02		1
7	3	YGL228W_UWOP_11_07_03		1
7	4	YHR082C_UWOP_11_07_04		1
7	5	YGR077C_UWOP_11_07_05		1
7	6	YHR200W_UWOP_11_07_06		1
7	7	YGL227W_UWOP_11_07_07		1
7	8	YHR081W_UWOP_11_07_08		1
7	9	YGR072W_UWOP_11_07_09		1
7	10	YHR199C_UWOP_11_07_10		1
7	11	YGL226W_UWOP_11_07_11		1
7	12	YHR080C_UWOP_11_07_12		1
7	13	YGR071C_UWOP_11_07_13		1
7	14	YHR198C_UWOP_11_07_14		1
7	15	YGL226C-A_UWOP_11_07_15		1
7	16	YHR079C-B_UWOP_11_07_16		1
7	17	YGR070W_UWOP_11_07_17		1
7	18	YHR195W_UWOP_11_07_18		1
7	19	YGL224C_UWOP_11_07_19		1
7	20	YHR079C_UWOP_11_07_20		1
