Row	Column	Strain	Info	Normalization_group
1	1	YLR149C_S288C_02_01_01		1
1	2	YOR288C_S288C_02_01_02		1
1	3	YKL063C_S288C_02_01_03		1
1	4	YLR353W_S288C_02_01_04		1
1	5	YLR150W_S288C_02_01_05		1
1	6	YJL218W_S288C_02_01_06		1
1	7	YKL064W_S288C_02_01_07		1
1	8	YLR354C_S288C_02_01_08		1
1	9	YLR151C_S288C_02_01_09		1
1	10	YJL217W_S288C_02_01_10		1
1	11	YKL065C_S288C_02_01_11		1
1	12	YLR356W_S288C_02_01_12		1
1	13	YLR152C_S288C_02_01_13		1
1	14	YJL216C_S288C_02_01_14		1
1	15	YKL066W_S288C_02_01_15		1
1	16	YLR357W_S288C_02_01_16		1
1	17	YLR154C_S288C_02_01_17		1
1	18	YJL215C_S288C_02_01_18		1
1	19	YKL067W_S288C_02_01_19		1
1	20	YLR360W_S288C_02_01_20		1
1	21	YLR164W_S288C_02_01_21		1
1	22	YJL214W_S288C_02_01_22		1
1	23	YKL068W_S288C_02_01_23		1
1	24	YLR362W_S288C_02_01_24		1
1	25	YLR165C_S288C_02_01_25		1
1	26	YJL212C_S288C_02_01_26		1
1	27	YKL069W_S288C_02_01_27		1
1	28	YLR363C_S288C_02_01_28		1
1	29	YLR168C_S288C_02_01_29		1
1	30	YJL210W_S288C_02_01_30		1
1	31	YKL070W_S288C_02_01_31		1
1	32	YLR364W_S288C_02_01_32		1
1	33	YLR169W_S288C_02_01_33		1
1	34	YJL211C_S288C_02_01_34		1
1	35	YKL071W_S288C_02_01_35		1
1	36	YLR365W_S288C_02_01_36		1
1	37	YLR170C_S288C_02_01_37		1
1	38	YJL209W_S288C_02_01_38		1
1	39	YKL072W_S288C_02_01_39		1
1	40	YLR366W_S288C_02_01_40		1
1	41	YLR171W_S288C_02_01_41		1
1	42	YJL208C_S288C_02_01_42		1
1	43	YKL073W_S288C_02_01_43		1
1	44	YLR367W_S288C_02_01_44		1
1	45	YLR172C_S288C_02_01_45		1
1	46	YJL207C_S288C_02_01_46		1
1	47	YKL074C_S288C_02_01_47		1
1	48	YLR368W_S288C_02_01_48		1
2	1	YPL066W_S288C_02_02_01		1
2	2	YNL177C_S288C_02_02_02		1
2	3	YPR164W_S288C_02_02_03		1
2	4	YDR260C_S288C_02_02_04		1
2	5	YPL065W_S288C_02_02_05		1
2	6	YNL176C_S288C_02_02_06		1
2	7	YPR166C_S288C_02_02_07		1
2	8	YDR261C_S288C_02_02_08		1
2	9	YPL064C_S288C_02_02_09		1
2	10	YNL175C_S288C_02_02_10		1
2	11	YPR167C_S288C_02_02_11		1
2	12	YDR262W_S288C_02_02_12		1
2	13	YPL062W_S288C_02_02_13		1
2	14	YNL173C_S288C_02_02_14		1
2	15	YPR170C_S288C_02_02_15		1
2	16	YDR263C_S288C_02_02_16		1
2	17	YPL061W_S288C_02_02_17		1
2	18	YNL170W_S288C_02_02_18		1
2	19	YPR171W_S288C_02_02_19		1
2	20	YDR264C_S288C_02_02_20		1
2	21	YPL060W_S288C_02_02_21		1
2	22	YNL171C_S288C_02_02_22		1
2	23	YPR172W_S288C_02_02_23		1
2	24	YDR265W_S288C_02_02_24		1
2	25	YPL058C_S288C_02_02_25		1
2	26	YNL169C_S288C_02_02_26		1
2	27	YPR173C_S288C_02_02_27		1
2	28	YDR266C_S288C_02_02_28		1
2	29	YPL057C_S288C_02_02_29		1
2	30	YNL168C_S288C_02_02_30		1
2	31	YPR174C_S288C_02_02_31		1
2	32	YDR269C_S288C_02_02_32		1
2	33	YPL056C_S288C_02_02_33		1
2	34	YNL167C_S288C_02_02_34		1
2	35	YPR179C_S288C_02_02_35		1
2	36	YDR270W_S288C_02_02_36		1
2	37	YPL055C_S288C_02_02_37		1
2	38	YNL166C_S288C_02_02_38		1
2	39	YPR184W_S288C_02_02_39		1
2	40	YDR271C_S288C_02_02_40		1
2	41	YPL054W_S288C_02_02_41		1
2	42	YNL165W_S288C_02_02_42		1
2	43	YPR185W_S288C_02_02_43		1
2	44	YDR272W_S288C_02_02_44		1
2	45	YPL053C_S288C_02_02_45		1
2	46	YNL164C_S288C_02_02_46		1
2	47	YPR188C_S288C_02_02_47		1
2	48	YDR273W_S288C_02_02_48		1
3	1	YKL184W_S288C_02_03_01		1
3	2	YLR292C_S288C_02_03_02		1
3	3	YOR138C_S288C_02_03_03		1
3	4	YGL199C_S288C_02_03_04		1
3	5	YKL185W_S288C_02_03_05		1
3	6	YLR294C_S288C_02_03_06		1
3	7	YOR139C_S288C_02_03_07		1
3	8	YGL200C_S288C_02_03_08		1
3	9	YKL187C_S288C_02_03_09		1
3	10	YLR295C_S288C_02_03_10		1
3	11	YOR140W_S288C_02_03_11		1
3	12	YGL202W_S288C_02_03_12		1
3	13	YKL188C_S288C_02_03_13		1
3	14	YLR296W_S288C_02_03_14		1
3	15	YOR141C_S288C_02_03_15		1
3	16	YGL203C_S288C_02_03_16		1
3	17	YKL190W_S288C_02_03_17		1
3	18	YLR297W_S288C_02_03_18		1
3	19	YOR142W_S288C_02_03_19		1
3	20	YGL205W_S288C_02_03_20		1
3	21	YGR027C_S288C_02_03_21		1
3	22	YLR299W_S288C_02_03_22		1
3	23	YOR144C_S288C_02_03_23		1
3	24	YGL208W_S288C_02_03_24		1
3	25	YGR031W_S288C_02_03_25		1
3	26	YLR300W_S288C_02_03_26		1
3	27	YOR152C_S288C_02_03_27		1
3	28	YGL209W_S288C_02_03_28		1
3	29	YGR033C_S288C_02_03_29		1
3	30	YLR303W_S288C_02_03_30		1
3	31	YOR153W_S288C_02_03_31		1
3	32	YGL210W_S288C_02_03_32		1
3	33	YGR034W_S288C_02_03_33		1
3	34	YLR304C_S288C_02_03_34		1
3	35	YOR154W_S288C_02_03_35		1
3	36	YGL211W_S288C_02_03_36		1
3	37	YGR035C_S288C_02_03_37		1
3	38	YLR306W_S288C_02_03_38		1
3	39	YOR155C_S288C_02_03_39		1
3	40	YGL212W_S288C_02_03_40		1
3	41	YGR036C_S288C_02_03_41		1
3	42	YLR307W_S288C_02_03_42		1
3	43	YOR156C_S288C_02_03_43		1
3	44	YGL213C_S288C_02_03_44		1
3	45	YGR037C_S288C_02_03_45		1
3	46	YLR308W_S288C_02_03_46		1
3	47	YOR161C_S288C_02_03_47		1
3	48	YGL214W_S288C_02_03_48		1
4	1	YOL152W_S288C_02_04_01		1
4	2	YIL076W_S288C_02_04_02		1
4	3	YPL194W_S288C_02_04_03		1
4	4	YGR281W_S288C_02_04_04		1
4	5	YBL003C_S288C_02_04_05		1
4	6	YIL077C_S288C_02_04_06		1
4	7	YGL031C_S288C_02_04_07		1
4	8	YGR282C_S288C_02_04_08		1
