Row	Column	Strain	Info	Normalization_group
1	1	YAL049C_S288C_04_01_01		1
1	2	PBY365_Y8205_04_01_02		2
1	3	PBY701_Y8205_04_01_03		2
1	4	PBY445_Y8205_04_01_04		2
1	5	YDR090C_S288C_04_01_05		1
1	6	PBY879_Y8205_04_01_06		2
1	7	PBY210_Y8205_04_01_07		2
1	8	PBY578_Y8205_04_01_08		2
1	9	YEL041W_S288C_04_01_09		1
1	10	PBY555_Y8205_04_01_10		2
1	11	PBY798_Y8205_04_01_11		2
1	12	PBY483_Y8205_04_01_12		2
1	13	PBY5_Y8205_04_01_13		2
1	14	PBY886_Y8205_04_01_14		2
1	15	PBY335_Y8205_04_01_15		2
1	16	PBY89_Y8205_04_01_16		2
1	17	PBY5_Y8205_04_01_17		2
1	18	PBY173_Y8205_04_01_18		2
1	19	PBY554_Y8205_04_01_19		2
1	20	PBY199_Y8205_04_01_20		2
1	21	YGL196W_S288C_04_01_21		1
1	22	PBY342_Y8205_04_01_22		2
1	23	PBY236_Y8205_04_01_23		2
1	24	PBY815_Y8205_04_01_24		2
1	25	YHR001W_S288C_04_01_25		1
1	26	PBY588_Y8205_04_01_26		2
1	27	PBY828_Y8205_04_01_27		2
1	28	PBY714_Y8205_04_01_28		2
1	29	PBY5_Y8205_04_01_29		2
1	30	PBY158_Y8205_04_01_30		2
1	31	PBY112_Y8205_04_01_31		2
1	32	PBY590_Y8205_04_01_32		2
1	33	YIL127C_S288C_04_01_33		1
1	34	PBY581_Y8205_04_01_34		2
1	35	PBY540_Y8205_04_01_35		2
1	36	PBY443_Y8205_04_01_36		2
1	37	YMR032W_S288C_04_01_37		1
1	38	PBY513_Y8205_04_01_38		2
1	39	PBY824_Y8205_04_01_39		2
1	40	PBY285_Y8205_04_01_40		2
1	41	YNL162W_S288C_04_01_41		1
1	42	PBY461_Y8205_04_01_42		2
1	43	PBY748_Y8205_04_01_43		2
1	44	PBY707_Y8205_04_01_44		2
1	45	YOL073C_S288C_04_01_45		1
1	46	PBY396_Y8205_04_01_46		2
1	47	PBY712_Y8205_04_01_47		2
1	48	PBY537_Y8205_04_01_48		2
2	1	YGL129C_S288C_04_02_01		1
2	2	YOR128C_S288C_04_02_02		1
2	3	YER175C_S288C_04_02_03		1
2	4	YAL016C-B_S288C_04_02_04		1
2	5	YGL131C_S288C_04_02_05		1
2	6	YEL044W_S288C_04_02_06		1
2	7	YER176W_S288C_04_02_07		1
2	8	YAL037C-A_S288C_04_02_08		1
2	9	YGL132W_S288C_04_02_09		1
2	10	YER087W_S288C_04_02_10		1
2	11	YER177W_S288C_04_02_11		1
2	12	YAL067W-A_S288C_04_02_12		1
2	13	YGL133W_S288C_04_02_13		1
2	14	YEL029C_S288C_04_02_14		1
2	15	YER178W_S288C_04_02_15		1
2	16	YAR035C-A_S288C_04_02_16		1
2	17	YGL135W_S288C_04_02_17		1
2	18	YHR010W_S288C_04_02_18		1
2	19	YER179W_S288C_04_02_19		1
2	20	YBL008W-A_S288C_04_02_20		1
2	21	YGL136C_S288C_04_02_21		1
2	22	YHR021C_S288C_04_02_22		1
2	23	YER180C_S288C_04_02_23		1
2	24	YBL029C-A_S288C_04_02_24		1
2	25	YGL138C_S288C_04_02_25		1
2	26	YLL027W_S288C_04_02_26		1
2	27	YER181C_S288C_04_02_27		1
2	28	YBL039W-A_S288C_04_02_28		1
2	29	YGL139W_S288C_04_02_29		1
2	30	YLR226W_S288C_04_02_30		1
2	31	YER182W_S288C_04_02_31		1
2	32	YBL071C-B_S288C_04_02_32		1
2	33	YGL140C_S288C_04_02_33		1
2	34	YOR369C_S288C_04_02_34		1
2	35	YER183C_S288C_04_02_35		1
2	36	YBL071W-A_S288C_04_02_36		1
2	37	YGL141W_S288C_04_02_37		1
2	38	YFL016C_S288C_04_02_38		1
2	39	YER184C_S288C_04_02_39		1
2	40	YBL101W-C_S288C_04_02_40		1
2	41	YGL143C_S288C_04_02_41		1
2	42	YGR257C_S288C_04_02_42		1
2	43	YER185W_S288C_04_02_43		1
2	44	YBR056W-A_S288C_04_02_44		1
2	45	YGL144C_S288C_04_02_45		1
2	46	YNL055C_S288C_04_02_46		1
2	47	YER186C_S288C_04_02_47		1
2	48	YBR058C-A_S288C_04_02_48		1
3	1	PBY490_Y8205_04_03_01		2
3	2	PBY558_Y8205_04_03_02		2
3	3	PBY99_Y8205_04_03_03		2
3	4	PBY5_Y8205_04_03_04		2
3	5	PBY462_Y8205_04_03_05		2
3	6	PBY456_Y8205_04_03_06		2
3	7	PBY447_Y8205_04_03_07		2
3	8	PBY384_Y8205_04_03_08		2
3	9	PBY241_Y8205_04_03_09		2
3	10	PBY169_Y8205_04_03_10		2
3	11	PBY667_Y8205_04_03_11		2
3	12	PBY481_Y8205_04_03_12		2
3	13	PBY741_Y8205_04_03_13		2
3	14	PBY635_Y8205_04_03_14		2
3	15	PBY659_Y8205_04_03_15		2
3	16	PBY133_Y8205_04_03_16		2
3	17	PBY5_Y8205_04_03_17		2
3	18	PBY710_Y8205_04_03_18		2
3	19	PBY177_Y8205_04_03_19		2
3	20	PBY674_Y8205_04_03_20		2
3	21	PBY250_Y8205_04_03_21		2
